item_id,sku,title,price,currency,image_url,image_count,eps_images,non_eps_images,all_eps,min_long_px,max_long_px,below_zoom_800,below_ideal,desc_html_len,desc_text_len,has_desc,is_group,variation_count,parent_image_count,child_image_count_total,status
256509144778,MCN-ODORELIMINATOR-GALLON,"GEAR AID Revivex Odor Eliminator for Tents, Footwear and Sports Gear, 1 Gallon",109.99,USD,https://i.ebayimg.com/images/g/cqYAAOSwW61mQGgy/s-l1600.jpg,1,1,0,yes,1600,1600,no,no,9764,6377,yes,no,0,1,0,OK
256443890038,SON-AO14IBGRGTGP-12-BLCK,"Black 14 Inch Gold Mining Pan for Gold Prospecting 2 Riffle Types",14.50,USD,"https://i.ebayimg.com/images/g/gvUAAOSwCGdl8NYm/s-l1600.jpg, 
https://i.ebayimg.com/images/g/gsAAAOSw4Uhl8NYm/s-l1600.jpg, 
https://i.ebayimg.com/images/g/YrgAAOSwp5xl8NYm/s-l1600.jpg, 
https://i.ebayimg.com/images/g/a3sAAOSwosNl8NYm/s-l1600.jpg, 
https://i.ebayimg.com/images/g/CYgAAOSw0K1l8NYm/s-l1600.jpg",5,5,0,yes,1600,1600,no,no,9116,5714,yes,no,0,5,0,OK
256510041675,SON-7IN1SURVIVALWHISTLE-ODGRN,"7 in 1 Survival Whistle Multi-Case with LED Flashlight Compass Mirror - Green",10.99,USD,"https://i.ebayimg.com/images/g/LMwAAOSwDf1mQbn7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/gb4AAOSwKj5mQbn7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/rb8AAOSwT-lmQbn7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/-E8AAOSwiU5mQbn7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/FNcAAOSw6KhmQbn7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/OrkAAOSwRNZmQbn7/s-l1600.jpg, 
https://i.ebayimg.com/images/g/6D4AAOSwQ65mQbn8/s-l1600.jpg",7,7,0,yes,1500,1500,no,yes,9453,6095,yes,no,0,7,0,OK
256510041680,MCN-GARNASFWAWK-KIT-PARENT,"GEAR AID Revivex Suede, Nubuck and Fabric Boot Care Kit with Protector Spray",46.99,USD,"https://i.ebayimg.com/images/g/3kEAAOSw6whmQbm1/s-l1600.jpg, 
https://i.ebayimg.com/images/g/cIQAAOSwk8pmQbm2/s-l1600.jpg, 
https://i.ebayimg.com/images/g/HxgAAOSwc-ZmQbm2/s-l1600.jpg, 
https://i.ebayimg.com/images/g/imAAAOSwcK9mQbm2/s-l1600.jpg, 
https://i.ebayimg.com/images/g/WSIAAOSwdBZmQbm2/s-l1600.jpg, 
https://i.ebayimg.com/images/g/9WAAAOSwnb9mQbm2/s-l1600.jpg",6,6,0,yes,1049,1500,no,yes,9864,6527,yes,yes,2,6,0,OK
256510041695,SON-ACIDBRUSHSET-12PC1,"SE AB12 Acid Brush Set, 1/2""",38.99,USD,"https://i.ebayimg.com/images/g/VToAAOSwf9xmQbov/s-l1600.jpg, 
https://i.ebayimg.com/images/g/WwAAAOSwrD5mQbov/s-l1600.jpg, 
https://i.ebayimg.com/images/g/3n4AAOSwHYFmQbov/s-l1600.jpg, 
https://i.ebayimg.com/images/g/v7cAAOSwHlVmQbov/s-l1600.jpg, 
https://i.ebayimg.com/images/g/UEgAAOSwg75mQbow/s-l1600.jpg, 
https://i.ebayimg.com/images/g/sJEAAOSwajJmQbow/s-l1600.jpg, 
https://i.ebayimg.com/images/g/va0AAOSwbt9mQbow/s-l1600.jpg",7,7,0,yes,1600,1600,no,no,8988,5632,yes,no,0,7,0,OK
256510041696,NPT-ASRO-9IN1SURVIVALKNIFE-BLK,"ASR Outdoor 9 in 1 Multitool Folding Pocket Knife with G10 Handle, Black",29.99,USD,"https://i.ebayimg.com/images/g/sjoAAOSwbk9mQboH/s-l1600.jpg, 
https://i.ebayimg.com/images/g/3WEAAOSwthpmQboH/s-l1600.jpg, 
https://i.ebayimg.com/images/g/ytkAAOSw3BxmQboH/s-l1600.jpg, 
https://i.ebayimg.com/images/g/5tUAAOSwXPVmQboI/s-l1600.jpg, 
https://i.ebayimg.com/images/g/f4UAAOSwD~JmQboI/s-l1600.jpg, 
https://i.ebayimg.com/images/g/DGwAAOSws8tmQboH/s-l1600.jpg, 
https://i.ebayimg.com/images/g/7zwAAOSw55pmQboI/s-l1600.jpg, 
https://i.ebayimg.com/images/g/crIAAOSwHGFmQboI/s-l1600.jpg, 
https://i.ebayimg.com/images/g/qoEAAOSwFCNmQboH/s-l1600.jpg",9,9,0,yes,1600,1600,no,no,9814,6427,yes,no,0,9,0,OK
256510041697,MCN-GASSRASS-2OZ,"GEAR AID Seam Grip FC Fast Cure Sealant for Tents, Clear, 2 fl oz",15.99,USD,"https://i.ebayimg.com/images/g/w1MAAOSwx8JmQboQ/s-l1600.jpg, 
https://i.ebayimg.com/images/g/BRgAAOSwQvlmQboQ/s-l1600.jpg, 
https://i.ebayimg.com/images/g/FV0AAOSw5WxmQboQ/s-l1600.jpg, 
https://i.ebayimg.com/images/g/a8cAAOSw7PhmQboR/s-l1600.jpg, 
https://i.ebayimg.com/images/g/i9cAAOSwcK9mQboR/s-l1600.jpg",5,5,0,yes,915,1500,no,yes,9261,5908,yes,no,0,5,0,OK
256510041710,SHM-KIDFUN-REFLECTIONPAPER,"32 Sheet Disappearing Notebook Dissolving Message Note Pad - Reflection Paper",15.99,USD,"https://i.ebayimg.com/images/g/sasAAOSwQdhmQbm5/s-l1600.jpg, 
https://i.ebayimg.com/images/g/uNAAAOSwCLFmQbm6/s-l1600.jpg",2,2,0,yes,1000,1600,no,yes,8623,5234,yes,no,0,2,0,OK
256510041712,MET-GEARAIDREVIVEXSPRAY-AMZN,"GEAR AID Revivex Suede Protector, Water Repellent for Shoe, Boots, 4 fl oz, 2pk",27.36,USD,"https://i.ebayimg.com/images/g/xTUAAOSwPSdmQbmn/s-l1600.jpg, 
https://i.ebayimg.com/images/g/yr4AAOSwC5RmQbmn/s-l1600.jpg, 
https://i.ebayimg.com/images/g/kZMAAOSw-SVmQbmn/s-l1600.jpg, 
https://i.ebayimg.com/images/g/JesAAOSwrPtmQbmn/s-l1600.jpg, 
https://i.ebayimg.com/images/g/LFoAAOSw66tmQbmn/s-l1600.jpg, 
https://i.ebayimg.com/images/g/TGwAAOSwilhmQbmo/s-l1600.jpg",6,6,0,yes,535,1500,yes,yes,9338,5968,yes,no,0,6,0,OK
256510041714,SON-ANGULAR-SCISSORS,"Embroidery Shears Sewing Tailors Sharp Scissors Craft and Hobby Kelly Angular",9.99,USD,https://i.ebayimg.com/images/g/MUQAAOSwNuVmQbly/s-l1600.jpg,1,1,0,yes,1600,1600,no,no,8812,5467,yes,no,0,1,0,OK
