item_id,position,url,width,height,host,is_eps
256508244543,2,https://i.ebayimg.com/images/g/ih4AAOSwk8pmPxZK/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256476123885,0,https://i.ebayimg.com/images/g/5QcAAOSwvzpmF4nZ/s-l1600.jpg,1063,1063,i.ebayimg.com,yes
256476123885,1,https://i.ebayimg.com/images/g/s-4AAOSwpXpmF4ne/s-l1600.jpg,1064,1064,i.ebayimg.com,yes
256476123885,2,https://i.ebayimg.com/images/g/fb4AAOSwLMZmF4nb/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256476123885,3,https://i.ebayimg.com/images/g/UJEAAOSweZNmF4na/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256476123930,0,https://i.ebayimg.com/images/g/JXsAAOSwFHdmF4ln/s-l1600.jpg,1000,1000,i.ebayimg.com,yes
256508250506,0,https://i.ebayimg.com/images/g/HJcAAOSwQjFmPxkl/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508250506,1,https://i.ebayimg.com/images/g/f04AAOSwPpZmPxkl/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508250506,2,https://i.ebayimg.com/images/g/P-8AAOSwuRdmPxkk/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508701414,0,https://i.ebayimg.com/images/g/RN4AAOSwvtZmP79~/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508701447,0,https://i.ebayimg.com/images/g/ST0AAOSw0vNmP7-r/s-l1600.jpg,1000,1000,i.ebayimg.com,yes
256508701447,1,https://i.ebayimg.com/images/g/P5EAAOSwht1mP7-r/s-l1600.jpg,1000,1000,i.ebayimg.com,yes
256508701474,0,https://i.ebayimg.com/images/g/07IAAOSwaKdmP7-O/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508701474,1,https://i.ebayimg.com/images/g/6bkAAOSw5o5mP7-O/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508701517,0,https://i.ebayimg.com/images/g/NLoAAOSwaABmP79i/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508701517,1,https://i.ebayimg.com/images/g/Nx0AAOSwZgZmP79i/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508701517,2,https://i.ebayimg.com/images/g/TxUAAOSw8KBmP79i/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256509144716,0,https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_green-main.jpg,0,0,s3.amazonaws.com,no
256509144716,1,https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-main.jpg,0,0,s3.amazonaws.com,no
256509144716,2,https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-detail.jpg,0,0,s3.amazonaws.com,no
256509144716,3,https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-lifestyle.jpg,0,0,s3.amazonaws.com,no
256509144716,4,https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-scale.jpg,0,0,s3.amazonaws.com,no
256509144716,5,https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-package.jpg,0,0,s3.amazonaws.com,no
256509144739,0,https://i.ebayimg.com/images/g/rtAAAOSwEclmQGfG/s-l1600.jpg,1000,1000,i.ebayimg.com,yes
256509144739,1,https://i.ebayimg.com/images/g/oh0AAOSwJPZmQGfG/s-l1600.jpg,1000,1000,i.ebayimg.com,yes
256509144757,0,https://i.ebayimg.com/images/g/M8cAAOSw~cdmQGis/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256509144757,1,https://i.ebayimg.com/images/g/w-8AAOSwOc9mQGio/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256509144757,2,https://i.ebayimg.com/images/g/KrAAAOSwr7ZmQGio/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256509144757,3,https://i.ebayimg.com/images/g/o3gAAOSwJPZmQGio/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256509144757,4,https://i.ebayimg.com/images/g/3jMAAOSwC~pmQGio/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256509144757,5,https://i.ebayimg.com/images/g/rp8AAOSwY~5mQGio/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256509144757,6,https://i.ebayimg.com/images/g/gt4AAOSwtTFmQGio/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256509144757,7,https://i.ebayimg.com/images/g/4bQAAOSwOLBmQGio/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256509144778,0,https://i.ebayimg.com/images/g/cqYAAOSwW61mQGgy/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256443890038,0,https://i.ebayimg.com/images/g/gvUAAOSwCGdl8NYm/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256443890038,1,https://i.ebayimg.com/images/g/gsAAAOSw4Uhl8NYm/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256443890038,2,https://i.ebayimg.com/images/g/YrgAAOSwp5xl8NYm/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256443890038,3,https://i.ebayimg.com/images/g/a3sAAOSwosNl8NYm/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256443890038,4,https://i.ebayimg.com/images/g/CYgAAOSw0K1l8NYm/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041675,0,https://i.ebayimg.com/images/g/LMwAAOSwDf1mQbn7/s-l1600.jpg,1500,711,i.ebayimg.com,yes
256510041675,1,https://i.ebayimg.com/images/g/gb4AAOSwKj5mQbn7/s-l1600.jpg,1184,1500,i.ebayimg.com,yes
256510041675,2,https://i.ebayimg.com/images/g/rb8AAOSwT-lmQbn7/s-l1600.jpg,1159,1500,i.ebayimg.com,yes
256510041675,3,https://i.ebayimg.com/images/g/-E8AAOSwiU5mQbn7/s-l1600.jpg,1500,1191,i.ebayimg.com,yes
256510041675,4,https://i.ebayimg.com/images/g/FNcAAOSw6KhmQbn7/s-l1600.jpg,1500,571,i.ebayimg.com,yes
256510041675,5,https://i.ebayimg.com/images/g/OrkAAOSwRNZmQbn7/s-l1600.jpg,1500,555,i.ebayimg.com,yes
256510041675,6,https://i.ebayimg.com/images/g/6D4AAOSwQ65mQbn8/s-l1600.jpg,1500,1099,i.ebayimg.com,yes
256510041680,0,https://i.ebayimg.com/images/g/3kEAAOSw6whmQbm1/s-l1600.jpg,1049,1049,i.ebayimg.com,yes
256510041680,1,https://i.ebayimg.com/images/g/cIQAAOSwk8pmQbm2/s-l1600.jpg,1390,1390,i.ebayimg.com,yes
256510041680,2,https://i.ebayimg.com/images/g/HxgAAOSwc-ZmQbm2/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041680,3,https://i.ebayimg.com/images/g/imAAAOSwcK9mQbm2/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041680,4,https://i.ebayimg.com/images/g/WSIAAOSwdBZmQbm2/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041680,5,https://i.ebayimg.com/images/g/9WAAAOSwnb9mQbm2/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041695,0,https://i.ebayimg.com/images/g/VToAAOSwf9xmQbov/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041695,1,https://i.ebayimg.com/images/g/WwAAAOSwrD5mQbov/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041695,2,https://i.ebayimg.com/images/g/3n4AAOSwHYFmQbov/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041695,3,https://i.ebayimg.com/images/g/v7cAAOSwHlVmQbov/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041695,4,https://i.ebayimg.com/images/g/UEgAAOSwg75mQbow/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041695,5,https://i.ebayimg.com/images/g/sJEAAOSwajJmQbow/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041695,6,https://i.ebayimg.com/images/g/va0AAOSwbt9mQbow/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041696,0,https://i.ebayimg.com/images/g/sjoAAOSwbk9mQboH/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041696,1,https://i.ebayimg.com/images/g/3WEAAOSwthpmQboH/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041696,2,https://i.ebayimg.com/images/g/ytkAAOSw3BxmQboH/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041696,3,https://i.ebayimg.com/images/g/5tUAAOSwXPVmQboI/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041696,4,https://i.ebayimg.com/images/g/f4UAAOSwD~JmQboI/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041696,5,https://i.ebayimg.com/images/g/DGwAAOSws8tmQboH/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041696,6,https://i.ebayimg.com/images/g/7zwAAOSw55pmQboI/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041696,7,https://i.ebayimg.com/images/g/crIAAOSwHGFmQboI/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041696,8,https://i.ebayimg.com/images/g/qoEAAOSwFCNmQboH/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041697,0,https://i.ebayimg.com/images/g/w1MAAOSwx8JmQboQ/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041697,1,https://i.ebayimg.com/images/g/BRgAAOSwQvlmQboQ/s-l1600.jpg,915,915,i.ebayimg.com,yes
256510041697,2,https://i.ebayimg.com/images/g/FV0AAOSw5WxmQboQ/s-l1600.jpg,916,916,i.ebayimg.com,yes
256510041697,3,https://i.ebayimg.com/images/g/a8cAAOSw7PhmQboR/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041697,4,https://i.ebayimg.com/images/g/i9cAAOSwcK9mQboR/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041710,0,https://i.ebayimg.com/images/g/sasAAOSwQdhmQbm5/s-l1600.jpg,1000,1000,i.ebayimg.com,yes
256510041710,1,https://i.ebayimg.com/images/g/uNAAAOSwCLFmQbm6/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041712,0,https://i.ebayimg.com/images/g/xTUAAOSwPSdmQbmn/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041712,1,https://i.ebayimg.com/images/g/yr4AAOSwC5RmQbmn/s-l1600.jpg,535,535,i.ebayimg.com,yes
256510041712,2,https://i.ebayimg.com/images/g/kZMAAOSw-SVmQbmn/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041712,3,https://i.ebayimg.com/images/g/JesAAOSwrPtmQbmn/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041712,4,https://i.ebayimg.com/images/g/LFoAAOSw66tmQbmn/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041712,5,https://i.ebayimg.com/images/g/TGwAAOSwilhmQbmo/s-l1600.jpg,1500,1500,i.ebayimg.com,yes
256510041714,0,https://i.ebayimg.com/images/g/MUQAAOSwNuVmQbly/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041719,0,https://i.ebayimg.com/images/g/NhoAAOSw9QNmQblb/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256510041719,1,https://i.ebayimg.com/images/g/aoYAAOSwBdVmQbla/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
