category_id,category_path,listing_count,upc_support,ean_support,isbn_support
64602,"Musical Instruments & Gear|Karaoke Entertainment|Karaoke Systems",1,ENABLED,DISABLED,DISABLED
28133,"Crafts|Leathercrafts|Leathercraft Tools|Other Leather Tools",1,REQUIRED,DISABLED,DISABLED
118867,"Home & Garden|Yard, Garden & Outdoor Living|Garden Hand Tools & Equipment|Garden Tool Sets",1,ENABLED,DISABLED,DISABLED
112581,"Home & Garden|Lamps, Lighting & Ceiling Fans|Lamps",1,ENABLED,DISABLED,DISABLED
98968,"Travel|Travel Accessories|Money Belts & Wallets",1,ENABLED,DISABLED,DISABLED
45452,"Baby|Bathing & Grooming|Health & Grooming",1,ENABLED,DISABLED,DISABLED
16507,"Crafts|Stamping & Embossing|Tools & Equipment",1,ENABLED,DISABLED,DISABLED
177907,"Sporting Goods|Hunting|Range & Shooting Equipment|Other Range & Shooting Equipment",1,ENABLED,DISABLED,DISABLED
42266,"Home & Garden|Tools & Workshop Equipment|Power Tools|Buffers & Polishers",1,ENABLED,DISABLED,DISABLED
75041,"Health & Beauty|Health Care|Pill Boxes, Pill Cases",1,ENABLED,DISABLED,DISABLED
303,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Other Hand Tools",1,ENABLED,DISABLED,DISABLED
67019,"Business & Industrial|Facility Maintenance & Safety|Personal Protective Equipment (PPE)|Safety Glasses & Goggles",1,ENABLED,DISABLED,DISABLED
