item_id,sku,varied_by,title,upc,ean,isbn,gtin,missing_gtin,custom_upc_specific,upc_duplicated
256510047945,SON-SSDESWCT-SML-CHRM,,"Spatula Wax Carver Ceramic Pottery Double Ended Tool Set",706569003765,,,706569003765,,,
256510047946,SON-ICE-TEMPERED-SCISSOR-SP105,,"Universal Tool Ice Tempered S Steel Salon Hairdressing Barber Scissor 7.5 inch",060886345220,,,060886345220,,,
256510047954,SON-CINEMA-LIGHTBOX-20BX,,"Hanging Cinema String Light Boxes - 90 Characters, 20 Boxes",706569092790,,,706569092790,,,
256510047955,4SN-CALLUSREMOV-BLU-42121,,"Home Essentials Manicure Pedicure Foot Scrubber Foot File Callus Remover - Blue",810058483119,,,810058483119,,,
256510047956,MCN-PCUCCH-325-PARENT,,"GEAR AID 325 Paracord and Carabiner, 3mm Utility Cord for Camping & Hiking, 50ft",,,,,YES,,
256510047956,MCN-PCUCCH-325-BLCK-50FT,Style,"GEAR AID 325 Paracord and Carabiner, 3mm Utility Cord for Camping & Hiking, 50ft",021563806809,,,021563806809,,,
256510047956,MCN-PCUCCH-325-BLCK-50FT-2PK,Style,"GEAR AID 325 Paracord and Carabiner, 3mm Utility Cord for Camping & Hiking, 50ft",021563807202,,,021563807202,,,
256510047965,MCN-MEMNORABC-2OZ-CLR-2,,"GEAR AID Revivex Odor Eliminator for Tents, Footwear and Sports Gear, 2 fl oz",021563361322,,,021563361322,,,
256510047966,SON-100PKZIPLOCKBAG-PARENT,,"100 Pieces Self Locking Plastic Bags 2mm Thick All Purpose Storage Various Sizes",,,,,YES,,
256510047966,SON-15X15SLPB-100PC-15X15-CLR,"Item Height; Item Length; Item Width; Size","100 Pieces Self Locking Plastic Bags 2mm Thick All Purpose Storage Various Sizes",706569071580,,,706569071580,,,
256510047966,SON-3X3SLPB-100PC-3X3-CLR,"Item Height; Item Length; Item Width; Size","100 Pieces Self Locking Plastic Bags 2mm Thick All Purpose Storage Various Sizes",706569064933,,,706569064933,,,
256510047966,SON-3X4SLPB-100PC-3X4-CLR,"Item Height; Item Length; Item Width; Size","100 Pieces Self Locking Plastic Bags 2mm Thick All Purpose Storage Various Sizes",706569044638,,,706569044638,,,
256510047966,SON-6X9SLPB-100PC-6X9-CLR,"Item Height; Item Length; Item Width; Size","100 Pieces Self Locking Plastic Bags 2mm Thick All Purpose Storage Various Sizes",706569044676,,,706569044676,,,
256510047966,SON-8IX10IZLB-100PC-LG-CLR,"Item Height; Item Length; Item Width; Size","100 Pieces Self Locking Plastic Bags 2mm Thick All Purpose Storage Various Sizes",706569044683,,,706569044683,,,
256510047966,SON-4X4SLPB-100PC-4X4-CLR,"Item Height; Item Length; Item Width; Size","100 Pieces Self Locking Plastic Bags 2mm Thick All Purpose Storage Various Sizes",706569044645,,,706569044645,,,
256510047969,SON-STEPDRILLBITS-3PC,,"High Speed Steel Step Drill Bits Locking Hex Shank Assorted - 3pc",706569089097,,,706569089097,,,
256510047977,SON-GR6ISPP40HSI-6IN-GRN-HPNR,,"SE GP4-40 5.5"" Mini Stackable Sifting Pan, 40 Holes/Square Inch",,,,,YES,,
256510047983,SON-IFESFS-STD-BLCK,,"Instant Fire Starter Outdoor Survival Magnesium Compact Striking Stick",841862716322,,,841862716322,,,
256510047987,4SN-JOJOTOOTHBRUSH-CAP,,"JoJo Siwa Brush Buddies Kids Toothbrush Ultra Soft Bristles with Plastic Cap",852064006265,,,852064006265,,,
256510047992,MCN-ULCOMMICFIBTOW-PARENT-HPN,,"GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, L, 30"" x 50""",,,,,YES,,
256510047992,MCN-UCMAAFDOTCL-LG-CYT,"Color; MPN","GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, L, 30"" x 50""",021563440317,,,021563440317,,,
256510047992,MCN-UCMAAFDOTGL-LG-GRN,"Color; MPN","GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, L, 30"" x 50""",021563440348,,,021563440348,,,
256510047992,MCN-MOMUAQDGTNBL-2PC-NVYBL-3,"Color; MPN","GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, L, 30"" x 50""",021563440416,,,021563440416,,,
256510047992,MCN-MUAMOPTG-LRG-GRN-VAR-1,"Color; MPN","GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, L, 30"" x 50""",021563681550,,,021563681550,,,
256510047992,MCN-OMTUAQDGTCBL-LG-CBLT-VAR-1,"Color; MPN","GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, L, 30"" x 50""",021563681512,,,021563681512,,,
256510047992,MCN-MUCMT-LG,"Color; MPN","GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, L, 30"" x 50""",021563440348,,,021563440348,,,
256510047992,MCN-MOMUAQDGTML-2PC-30X50,"Color; MPN","GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, L, 30"" x 50""",713425595142,,,713425595142,,,
