product_id,handle,product_title,status,variant_id,variant_title,sku,current_barcode,gtin_state
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",ACTIVE,47421057827116,3lb,DOY-GOLDPAYDIRT-3LBS,,MISSING
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",ACTIVE,47421057859884,10lb,DOY-GOLDPAYDIRT-10LBS,,MISSING
8919461888300,13pc-geology-rock-hounding-kit-with-mining-tools-and-deluxe-carry-bag,"21pc Geology Rock Hounding Kit with Mining Tools and Deluxe Carry Bag",ACTIVE,47571388203308,"Default Title",DOY-GEOKIT-BUN,810058486561,has
8919490330924,13-pocket-musette-carry-shoulder-bag-for-rock-hounding,"13 Pocket Musette Shoulder Tool Bag for Rock Hounding or Metal Detecting",ACTIVE,47571432177964,"Default Title",HWK-CARRYALLBAG-13PCKT,810058487094,has
8992586793260,half-inch-plastic-sifting-screen-classifier-4-holes-per-square-inch,"Stackable 1/4"" Classifier Sifting Screen Gold Prospecting Equipment",ACTIVE,47839167971628,"Default Title",SON-GSC14MSSPPWFP-GRN-PLST,810058489586,has
9025218904364,19pc-metal-detector-accessories-kit-with-musette-style-field-tool-bag,"19pc Metal Detector Accessories Kit with Musette Style Field Tool Bag",ACTIVE,47964772696364,"Default Title",SON-ASRO-METALDETECTKIT-19PC-BUN,810131707866,has
9082933772588,13-inch-serrated-edge-digger-versatile-hand-trowel-for-breaking-up-hard-ground,"13 Inch Serrated Edge Digger, Versatile Hand Trowel for Breaking up Hard Ground",ACTIVE,48146163695916,"Default Title",SON-STEELDIGGER-GRN,060886306337,has
9082999210284,11-inch-pin-pointer-metal-detecting-hand-trowel-shovel-with-depth-markers-2-colors,"11 Inch Pin Pointer Metal Detecting Hand Trowel Shovel with Depth Markers (2 Colors)",ACTIVE,48146472108332,Black,SON-NPT288-TROWEL-BLK,810131776503,has
9082999210284,11-inch-pin-pointer-metal-detecting-hand-trowel-shovel-with-depth-markers-2-colors,"11 Inch Pin Pointer Metal Detecting Hand Trowel Shovel with Depth Markers (2 Colors)",ACTIVE,48146472173868,Orange,SON-HAND-TROWEL-ORANGE,060886070054,has
9147226489132,asr-outdoor-10l-collapsible-bucket-and-stand-gold-prospecting-equipment-6pc,"ASR Outdoor 10L Collapsible Bucket and Stand Gold Prospecting Equipment, 6pc",ACTIVE,48381480468780,"Default Title",SON-ASRO-COLLAPSEBUCKETSTAND-10L,810058481535,has
9147232583980,asr-outdoor-1-4-classifier-screen-set-with-10l-collapsible-bucket-gold-panning-kit,"Classifier Screen with 10L Collapsible Silicone Bucket Gold Prospecting Equipment",ACTIVE,52712754807084,"1/2 Classifier Screen & Bucket",SON-ASRO-BUCKETCLASSIFER-7PC-BUN-12,810131705039,has
9147232583980,asr-outdoor-1-4-classifier-screen-set-with-10l-collapsible-bucket-gold-panning-kit,"Classifier Screen with 10L Collapsible Silicone Bucket Gold Prospecting Equipment",ACTIVE,52712754839852,"1/4 Classifier Screen & Bucket",SON-ASRO-BUCKETCLASSIFER-7PC-BUN,810058489227,has
9147232583980,asr-outdoor-1-4-classifier-screen-set-with-10l-collapsible-bucket-gold-panning-kit,"Classifier Screen with 10L Collapsible Silicone Bucket Gold Prospecting Equipment",ACTIVE,52712754872620,"1/8 Classifier Screen & Bucket",SON-ASRO-BUCKETCLASSIFER-7PC-BUN-18,810131708795,has
9147232583980,asr-outdoor-1-4-classifier-screen-set-with-10l-collapsible-bucket-gold-panning-kit,"Classifier Screen with 10L Collapsible Silicone Bucket Gold Prospecting Equipment",ACTIVE,52712754905388,"1/20 Classifier Screen & Bucket",SON-ASRO-BUCKETCLASSIFER-7PC-BUN-120,810131709297,has
9411548447020,3pc-heavy-duty-cold-steel-chisel-set-rock-hounding-equipment,"3pc Heavy Duty Cold Steel Chisel Set Rock Hounding Equipment",ACTIVE,49081967182124,"Default Title",DOY-ASRO-RHCHISELSET-3PC,810131700270,has
9511343030572,lightweight-carbon-steel-camping-hammer-with-tent-stakes-puller-12-inch,"Lightweight Carbon Steel Camping Hammer with Tent Stakes Puller, 12 Inch",ACTIVE,49355098816812,"Default Title",SON-ASRO-12INCAMPINGHAMMER-BLK,0810131706142,has
9511347683628,10-in-1-compact-survival-kit-camping-hiking-gear-emergency-supplies-green,"10 in 1 Compact Survival Device Camping Hiking Gear Emergency Supplies, Green",ACTIVE,49355135353132,"Default Title",SON-ASRO-10IN1SURVIVALTOOL-GRN,0810131705091,has
9511352959276,4pk-aluminum-screw-in-tent-stakes-9-inch,"4pk Aluminum Screw in Tent Stakes, 9 Inch",ACTIVE,49355183587628,"Default Title",SON-ASRO-ALUMTENTSTAKES-SILVER-4PC,810131708665,has
9511355318572,2pk-zipper-pull-mini-compass,"2pk Lightweight Zipper Pull Mini Compass Hiking Camping Gear, Black",ACTIVE,49355211473196,"Default Title",SON-ZIPPERPULLCOMPASS-BLK-2PK,810131704414,has
9511356694828,3pc-collapsible-camping-lantern-assorted-colors,"3pc Collapsible Camping Lantern, Assorted Colors",ACTIVE,49355228676396,"Default Title",SON-ASRO-CAMPINGLANTERNSET-3PC,810131701413,has
9511359676716,hanging-camping-lantern-battery-operated-led,"Hanging Camping Lantern Battery Operated LED",ACTIVE,49355262165292,"Default Title",SON-HANGINGLANTERN-GRN-FL804-92COB,810058488183,has
9511362527532,36-hour-camping-survival-candle-in-portable-box-3-wick,"36 Hour Camping Survival Candle in Portable Box, 3 Wick",ACTIVE,49355292705068,"Default Title",SON-ASRO-3WICK-CANDLE-WHT,810058486592,has
9511364165932,thermal-mat-heat-reflective-camping-sleeping-pad,"Thermal Mat Heat Reflective Camping Sleeping Pad",ACTIVE,49355308466476,"Default Title",SON-OTRSCMP-STD-YLLW,654123789641,has
