product_id,handle,product_title,product_type,variant_id,variant_title,sku,amazon upc,usurper upc,usurper:amazon_upc,BEST UPC,created via CA
10099858768172,mini-folding-ceramic-razor-blade-survival-tool,Mini Folding Ceramic Razor Blade Survival Tool EDC Gear,Survival/Camping,52031838781740,2pk,SHM-CFRTBATNM-SML-BLCK-2PK,810058489265,810058489265,,810058489265,
10251991187756,waterproof-emergency-rain-poncho-lightweight-camping-hiking-rain-protection-clear-1pk,"Waterproof Emergency Rain Poncho Lightweight Camping & Hiking Rain Protection (Clear, 1pk)",Survival/Camping,52745455010092,Default Title,SON-AOCEP-MED-CLR,810058489289,706569102772,810058489289,810058489289,
8521740910892,4pc-dual-riffle-gold-pan-set-gold-prospecting-equipment-2-colors,4pc Dual Riffle Gold Pan Set Gold Prospecting Equipment (2 Colors),Gold Panning,46059418255660,Green,SON-DUALRIFFGRN-4PC,,810058489821,810058489821,810058489821,
8521740910892,4pc-dual-riffle-gold-pan-set-gold-prospecting-equipment-2-colors,4pc Dual Riffle Gold Pan Set Gold Prospecting Equipment (2 Colors),Gold Panning,46059418222892,Black,SON-DUALRIFFBLK-4PC,810058489876,810058489876,,810058489876,
9983056183596,asr-outdoor-200ft-high-visibility-trail-marking-ribbon-backpacking-safety-hiking-gear-in-assorted-colors,"200ft High Visibility Marking Ribbon, Flagging Tape Backpacking Safety Hiking Gear (Assorted Colors)",Survival/Camping,51582206673196,Neon Orange,SON-16FT-TRAILRIBBON-ESF2036-ORANGE,!not on amz!,810058499905,,810058499905,
9511366590764,6pc-tent-stake-set-with-hook-head-for-hard-packed-soil,"Heavy Duty Galvanized Carbon Steel Tent Stakes 11 Inch – Camping Ground Anchors for Tents Tarps Canopies (3 Colors, Assorted Pack Sizes)",Survival/Camping,52797082075436,Orange / 20 Pack,SON-TENTPEGS-ORANGE-20PK,810058531438,810058029591,810058531438,810058531438,
9511366590764,6pc-tent-stake-set-with-hook-head-for-hard-packed-soil,"Heavy Duty Galvanized Carbon Steel Tent Stakes 11 Inch – Camping Ground Anchors for Tents Tarps Canopies (3 Colors, Assorted Pack Sizes)",Survival/Camping,52797081977132,Orange / 4 Pack,SON-TENTPEGS-ORANGE-4PK,!not on amz!,810058769596,810058142733,810058769596,
9511366590764,6pc-tent-stake-set-with-hook-head-for-hard-packed-soil,"Heavy Duty Galvanized Carbon Steel Tent Stakes 11 Inch – Camping Ground Anchors for Tents Tarps Canopies (3 Colors, Assorted Pack Sizes)",Survival/Camping,52797098197292,Orange / 8 Pack,SON-TENTPEGS-ORANGE-8PK,810058996817,810058430960,810058996817,810058996817,
10100504035628,mini-edc-small-pocket-knife-multitool-3-colors,Mini Logo EDC Small Pocket Knife Multitool (4 Colors),Survival/Camping,52035082649900,Blue,SON-MINPOCKKNV-LOGO-BLUE,810131700607,810131700607,,810131700607,
9919285690668,asr-outdoor-collapsible-camping-lantern-cob-assorted-colors,Collapsible Camping Lanterns (Black or Grey),Survival/Camping,51582207689004,Black,SON-ASRO-COLLAPSIBLELANTERN-BLCK-LG,!not on amz!,810131701086,,810131701086,
