handle,title,has_hosted_video,has_external_video,has_videoobject_markup,hosted_video_url,hosted_preview,hosted_duration_ms,external_host,external_url,video_alt,url
asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-x-bobby-bo-assorted-paydirt-bags
13-pocket-musette-carry-shoulder-bag-for-rock-hounding,"13 Pocket Musette Shoulder Tool Bag for Rock Hounding or Metal Detecting",0,0,,,,,,,,https://asroutdoor.com/products/13-pocket-musette-carry-shoulder-bag-for-rock-hounding
half-inch-plastic-sifting-screen-classifier-4-holes-per-square-inch,"Stackable 1/4"" Classifier Sifting Screen Gold Prospecting Equipment",0,0,,,,,,,,https://asroutdoor.com/products/half-inch-plastic-sifting-screen-classifier-4-holes-per-square-inch
19pc-metal-detector-accessories-kit-with-musette-style-field-tool-bag,"19pc Metal Detector Accessories Kit with Musette Style Field Tool Bag",0,0,,,,,,,,https://asroutdoor.com/products/19pc-metal-detector-accessories-kit-with-musette-style-field-tool-bag
13-inch-serrated-edge-digger-versatile-hand-trowel-for-breaking-up-hard-ground,"13 Inch Serrated Edge Digger, Versatile Hand Trowel for Breaking up Hard Ground",0,0,,,,,,,,https://asroutdoor.com/products/13-inch-serrated-edge-digger-versatile-hand-trowel-for-breaking-up-hard-ground
11-inch-pin-pointer-metal-detecting-hand-trowel-shovel-with-depth-markers-2-colors,"11 Inch Pin Pointer Metal Detecting Hand Trowel Shovel with Depth Markers (2 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/11-inch-pin-pointer-metal-detecting-hand-trowel-shovel-with-depth-markers-2-colors
asr-outdoor-10l-collapsible-bucket-and-stand-gold-prospecting-equipment-6pc,"ASR Outdoor 10L Collapsible Bucket and Stand Gold Prospecting Equipment, 6pc",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-10l-collapsible-bucket-and-stand-gold-prospecting-equipment-6pc
asr-outdoor-1-4-classifier-screen-set-with-10l-collapsible-bucket-gold-panning-kit,"Classifier Screen with 10L Collapsible Silicone Bucket Gold Prospecting Equipment",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-1-4-classifier-screen-set-with-10l-collapsible-bucket-gold-panning-kit
3pc-heavy-duty-cold-steel-chisel-set-rock-hounding-equipment,"3pc Heavy Duty Cold Steel Chisel Set Rock Hounding Equipment",0,0,,,,,,,,https://asroutdoor.com/products/3pc-heavy-duty-cold-steel-chisel-set-rock-hounding-equipment
lightweight-carbon-steel-camping-hammer-with-tent-stakes-puller-12-inch,"Lightweight Carbon Steel Camping Hammer with Tent Stakes Puller, 12 Inch",0,0,,,,,,,,https://asroutdoor.com/products/lightweight-carbon-steel-camping-hammer-with-tent-stakes-puller-12-inch
