product_id,product_handle,product_title,skus
10069742944556,asr-outdoor-3-inch-locking-aluminum-carabiner-clip-edc-camping-hiking-gear-assorted-colors,"3 Inch Locking Aluminum Carabiner Clip EDC Camping Hiking Gear (Assorted Colors)","SON-ASRO-LOCKCARABINERS-BLK-STD | SON-ASRO-LOCKCARABINERS-GRN-STD | SON-ASRO-LOCKCARABINERS-SLV-STD"
8571407565100,3-in-1-black-mini-folding-serrated-edge-shovel-pick-and-saw-gold-prospecting-equipment-16-inches,"3 in 1 Black Mini Folding Serrated Edge Shovel Pick and Saw Gold Prospecting Equipment, 16 Inches",SON-FOLDING-SHOVEL-87950MS
8571177402668,3-in-1-black-trifold-steel-multipurpose-serrated-shovel-pick-and-saw-with-storage-case-22-inch,"3 in 1 Black Trifold Steel Multipurpose Serrated Shovel Pick and Saw with Storage Case, 22 Inch",SON-AOTFSSMFOU23I-23-BLCK
9513065218348,3-in-1-flint-fire-starter-whistle-black,"3 in 1 Flint Fire Starter Whistle - Black",SON-FLITWHISTLE-FS387BB
9513182429484,3-in-1-hiking-camping-survival-multi-tool-fire-starter-pocket-knife,"3 in 1 Hiking Camping Survival Multi Tool Fire Starter Pocket Knife",NPT-POCKETKNIFE-BLK
9512966947116,3-in-1-waterproof-match-stick-storage-container-with-fire-starter-and-signal-mirror,"3-in-1 Waterproof Match Container – Fire Starter Flint, Signal Mirror & Dry Storage Capsule (2 Colors)","SON-MATCH-CONTAINER-3-IN-1-GREEN | SON-WR3I1MSSCFSM"
8522216636716,3-5-or-5-gallon-white-heavy-duty-bucket-with-handle-gold-prospecting-equipment,"3.5 or 5 Gallon White Heavy Duty Bucket with Handle Gold Prospecting Equipment","DOY-ASRO-35GALLONBUCKET-WHITE | DOY-ASRO-5GALLONBUCKET-WHITE"
10246948356396,3000-lumen-5-stage-rechargeable-flashlight-with-adjustable-beam-and-sos-mode-7-5-inches,"3000 Lumen 5-Stage Rechargeable Flashlight with Adjustable Beam and SOS Mode Camping Gear, 7.5 Inches",SON-ASRO-3000LUMENFLASHLIGHT-BUN
10068970799404,stainless-steel-funnel-1-1-2-dia-with-3-8-spout,"304 Stainless Steel Flask Funnel Camping Gear (1-1/2 Inch Diameter with 3/8 Inch Spout)",SON-ASRO-SSFUNNEL-BUN
8521704636716,asr-outdoor-30l-heavy-stitch-gold-panning-backpack-camping-canvas-rucksack-3-colors,"30L Heavy Stitch Gold Panning Backpack Camping Gear Canvas Rucksack (4 Colors)","EVR-CANVAS-BACKPACK-KHAKI | EVR-CANVAS-BACKPACK-GRN | EVR-CANVAS-BACKPACK-BLACK | EVR-CANVAS-BACKPACK-BROWN"
9511362527532,36-hour-camping-survival-candle-in-portable-box-3-wick,"36 Hour Camping Survival Candle in Portable Box, 3 Wick",SON-ASRO-3WICK-CANDLE-WHT
9513197666604,38pc-compact-survival-kit-in-illuminated-dry-box,"38pc Compact Survival Kit in Illuminated Dry Box",SON-ASRO-DRYBOXSURVIVALKIT-22PC-BUN
8517722669356,gold-panning-precision-plastic-dropper-pipette-5-5-inch-3ml-multiple-pack-sizes,"3mL Gold Panning Precision Plastic Dropper Pipettes 5.5 Inch (Multiple Pack Sizes)","SON-PLASTICDROPPERS-25PACK-BUN | SON-PLASTICDROPPERS-50PACK-BUN | SON-PLASTICDROPPERS-100PACK"
8502573924652,5-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs,"3oz Plastic Heavy Duty Gold Snifter Bottle with Squeeze Nozzle (Multi-Packs)","SON-AOC3OZGSSB-3OZ-CLR | ASRO-5INCH-SNIFTERBOTTLE-2PK | ASRO-5INCH-SNIFTERBOTTLE-4PK | ASRO-5INCH-SNIFTERBOTTLE-6PK | ASRO-5INCH-SNIFTERBOTTLE-8PK | ASRO-5INCH-SNIFTERBOTTLE-10PK"
9511356694828,3pc-collapsible-camping-lantern-assorted-colors,"3pc Collapsible Camping Lantern, Assorted Colors",SON-ASRO-CAMPINGLANTERNSET-3PC
9411548447020,3pc-heavy-duty-cold-steel-chisel-set-rock-hounding-equipment,"3pc Heavy Duty Cold Steel Chisel Set Rock Hounding Equipment",DOY-ASRO-RHCHISELSET-3PC
9512958918956,3pc-reusable-camping-cutlery-plastic-utensils-set,"3pc Reusable Camping Cutlery Plastic Utensils Set",KOL-CAMPUTENSILS-HI006
10068971356460,12-piece-display-5-4-in-1-rechargeable-emergency-dynamo-am-fm-radio-flashlight-power-bank-emergency-siren,"4 in 1 Hand Crank Emergency AM/FM Weather Radio, Flashlight, Power Bank, Alarm Siren for Camping Gear and Survival Kits",SON-ASRO-4IN1EMERGMULTITOOL-STD
9516236144940,400lb-neodymium-magnet-fishing-kit-with-paracord-for-retrieving-lost-treasure,"400lb Neodymium Magnet Fishing Kit with Paracord for Retrieving Lost Treasure",SON-ASRO-400LBMAGFISHINGKIT-3PC
8571037516076,38pc-deluxe-geology-rock-hounding-kit-with-mining-tools-and-musette-carry-bag,"40pc Deluxe Geology Rock Hounding Kit with Mining Tools and Musette Tool Bag",DOY-GEOKIT-MUSS-BAG-KIT
8525101793580,4oz-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs,"4oz Gold Snifter Bottle Squeeze Snuffer for Fine Gold Recovery and Gold Panning (Assorted Pack Sizes)","SON-AOC4OGSSB-4OZ-CLR | ASR-AC4OGSSB-BUN-2PK-4OZ-CLR | ASR-AC4OGSSB-BUN-4PK-4OZ-CLR | UNV-ASROUTDOORCOMPACTGOLD-7"
8521740910892,4pc-dual-riffle-gold-pan-set-gold-prospecting-equipment-2-colors,"4pc Dual Riffle Gold Pan Set Gold Prospecting Equipment (2 Colors)","SON-DUALRIFFBLK-4PC | SON-DUALRIFFGRN-4PC"
