numeric_id,title,status,vendor,variants,no_barcode,no_sku,images,min_img_edge,no_barcode_any,no_barcode_some,no_sku_any,no_category,no_brand,not_active,not_available,no_image,image_below_500,no_storefront_url
9513050702124,"Survival 7 in 1 Multitool with Whistle Compass LED Flashlight",ACTIVE,"ASR Outdoor",2,0,0,11,1008,0,0,0,0,0,0,0,0,0,0
9513054404908,"Extendable Marshmallow Toaster BBQ Fork - 35.5""",ACTIVE,"ASR Outdoor",1,0,0,2,855,0,0,0,0,0,0,0,0,0,0
9513065218348,"3 in 1 Flint Fire Starter Whistle - Black",ACTIVE,"ASR Outdoor",1,0,0,7,1010,0,0,0,0,0,0,0,0,0,0
9513105228076,"High Visibility Emergency Glow Stick Safety Light, 1pk",ACTIVE,"ASR Outdoor",1,0,0,5,381,0,0,0,0,0,0,0,0,1,0
9513115287852,"Fire Stick Starter Survival Tool with Keychain and Compass",ACTIVE,"ASR Outdoor",1,0,0,8,869,0,0,0,0,0,0,0,0,0,0
9513170108716,"12pk Water Resistant Non Toxic Slow Burning Tinder Sticks Camping Gear",ACTIVE,"ASR Outdoor",1,0,0,4,775,0,0,0,0,0,0,0,0,0,0
9513182429484,"3 in 1 Hiking Camping Survival Multi Tool Fire Starter Pocket Knife",ACTIVE,"ASR Outdoor",1,0,0,8,403,0,0,0,0,0,0,0,0,1,0
9513188688172,"Survival Mylar Extreme Emergency Blanket, Orange",ACTIVE,"ASR Outdoor",1,0,0,8,638,0,0,0,0,0,0,0,0,0,0
9513197666604,"38pc Compact Survival Kit in Illuminated Dry Box",ACTIVE,"ASR Outdoor",1,0,0,9,1229,0,0,0,0,0,0,0,0,0,0
9513212182828,"14 in 1 Stainless Steel ECD Utility Multitool Pocket Knife with Carry Pouch",ACTIVE,"ASR Outdoor",1,0,0,9,1136,0,0,0,0,0,0,0,0,0,0
9513216540972,"Emergency Outdoor Winter Blanket Insulated Thermal Reflector 4 Pack",ACTIVE,"ASR Outdoor",1,0,0,7,562,0,0,0,0,0,0,0,0,0,0
9513231810860,"Illuminated Dry Box Detachable Lid Large Waterproof Storage Case",ACTIVE,"ASR Outdoor",1,0,0,8,769,0,0,0,0,0,0,0,0,0,0
9516197249324,"Waterproof Notebook with Pencil",ACTIVE,"ASR Outdoor",1,0,0,9,1500,0,0,0,0,0,0,0,0,0,0
