needs,product_title,variant,sku,current_gtin,current_mpn,MPN (fill in),UPC (fill in),correct GTIN-14,correct GTIN-13,handle,product_id,variant_id
4-ok (has GTIN),12pk Water Resistant Non Toxic Slow Burning Tinder Sticks Camping Gear,Default Title,SON-TINDER-STICKS-12-PACK-IH,810058482426,,AO-12TS21,810058482426,00810058482426,0810058482426,water-resistant-slow-burning-tinder-sticks-12-pack,9513170108716,49362260656428
4-ok (has GTIN),"13 Inch Serrated Edge Digger, Versatile Hand Trowel for Breaking up Hard Ground",Default Title,SON-STEELDIGGER-GRN,060886306337,,ASROCSGPTGRN,060886306337,00060886306337,0060886306337,13-inch-serrated-edge-digger-versatile-hand-trowel-for-breaking-up-hard-ground,9082933772588,48146163695916
4-ok (has GTIN),13 Pocket Musette Shoulder Tool Bag for Rock Hounding or Metal Detecting,Default Title,HWK-CARRYALLBAG-13PCKT,810058487094,NYLCOTB13,NYLCOTB13,810058487094,00810058487094,0810058487094,13-pocket-musette-carry-shoulder-bag-for-rock-hounding,8919490330924,47571432177964
4-ok (has GTIN),13pc Creekside Gold Panning Kit with Drawstring Backpack and Mini Classifiers,Default Title,SON-ASRO-CREEKSIDEGPKIT-13PC,810131700393,CKFK,CKFK,810131700393,00810131700393,0810131700393,asr-outdoor-creekside-gold-panning-kit-with-drawstring-backpack-and-mini-classifiers-13pc,9978779468076,51096477597996
4-ok (has GTIN),"13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",Black,SON-13PCGOLDKIT-BUN-BLK,810131705237,,ASROGPKITPARENT,810131705237,00810131705237,0810131705237,13pc-gold-panning-backpack-kit-collapsible-bucket,8502674391340,51582244258092
4-ok (has GTIN),"13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",Brown,SON-13PCGOLDKIT-BUN-BRN,810131705749,,ASROGPKITPARENT,810131705749,00810131705749,0810131705749,13pc-gold-panning-backpack-kit-collapsible-bucket,8502674391340,52644022026540
4-ok (has GTIN),"13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",Green,SON-13PCGOLDKIT-BUN,810058486219,,ASROGPKITPARENT,810058486219,00810058486219,0810058486219,13pc-gold-panning-backpack-kit-collapsible-bucket,8502674391340,51582244290860
4-ok (has GTIN),"13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",Khaki,SON-13PCGOLDKIT-BUN-KHAKI,810058486219,,ASROGPKITPARENT,810058486219,00810058486219,0810058486219,13pc-gold-panning-backpack-kit-collapsible-bucket,8502674391340,51582244225324
4-ok (has GTIN),14 Inch Metal Detecting Sand Scoop with Coin Probe (3 Colors),Black,SON-SCOOPNPROBE-GP3-SS23BK,810131708153,,PFSP-BLK23,810131708153,00810131708153,0810131708153,14-inch-metal-detecting-tool-sand-scoop-with-coin-probe-3-colors,10027574034732,51582203724076
4-ok (has GTIN),14 Inch Metal Detecting Sand Scoop with Coin Probe (3 Colors),Green,SON-SCOOPNPROBE-GP3-SS23GG,810131707927,,PFSP-GRN23,810131707927,00810131707927,0810131707927,14-inch-metal-detecting-tool-sand-scoop-with-coin-probe-3-colors,10027574034732,51582203756844
