"sku","parent.sku","name","character_walmart","modelnumber_walmart","pattern_walmart","theme_walmart","special_features_amazon","mpn_amazon","number_of_pieces_amazon","style_name_amazon","scale_name_amazon","light_source_type_amazon","outer_material_type_amazon","color_amazon","capacity_walmart","frame_material_type_amazon","recommendedroom_walmart","mounting_type_amazon","team_name_amazon","size","design_amazon","vehicletype_walmart","auto_part_position_amazon","sportvalue_walmart"
"APL-SUBSHARK-AS-9445","LST-KPL-FASTLANE-PARENT-PZ-AMZ","Kidplokio Boys 7pc Submarine Shark Diecast Toy Car Carrier Transporter, Age 3 up","Submarine","","","Ocean","","","","","","","","Black","","","","","","Submarine Car Carrier","","","",""
"APL-TRANSFORMCARS-AS-10061","","Kidplokio 2 in 1 Transforming Toys Robot RC Car Lights Sounds Boys Ages 3 and Up","Robot","","","Robots","","","","","","","","Assorted","","","","","","16"" x 5"" x 8""","","","",""
"AQM-MFUQC14I-14-BLCK","","Frontier Universal Quick Connect .25 inch","","","","","","","","","","","","","","","","","","1/4 Inch","","","",""
"ASR-AOBSCWBB-PARENT","","ASR Outdoor Black Stretch Shock Cord Plastic Ball Utility Cord (Pack Sizes)","","","","","","","","Bungee Cord with Ball","","","","Black","","","","","","","","","",""
"ASR-AOTAC-BUN-2PC-12PK-3B1-BLCK","","24pk ASR Outdoor 3 1/4 Inch x 1 Inch Tarp Camping Secure Grip Awning Clamps","","","","","","","","","","","","","","","","","","3 inch by 1 inch","","","",""
"ASR-BFTOU-BUN-3PK-STD-SLVR","","(3 Pack) ASR Outdoor Extendable Marshmallow Toaster Telescoping BBQ Fork Utensil","","","","","","","","","","","","","","","","","","Standard","","","",""
"SON-AOMDBWSB-17X125-BLCK","","ASR Outdoor Black Drawstring Backpack Gym Bag Hiking Gear, 20 x 16 Inches","","","","Basketball","","","","","","","","","","","","","","17\\\"" x 12.5\\\""","","","",""
"SON-AOTAC-SML-BLCK","","2 Piece ASR Outdoor 3.25 Inch x 1 Inch Tarp Camping Secure Grip Awning Clamps","","","","","","TAC-2-AMZ","","","","","","Black","","","","","","Small","","","",""
"SON-NPT288-TROWEL-BLK","","Ergonomic Home Garden Trowel Digging Hand Shovel Planting Outdoor Tool - 11 inch","","","","","","","","","","","","Black/Orange","","","","","","One Size","","","",""
"SON-13IPOCSCHS-3PC-13-SLVR","","Portable Outdoor Camping Survival Wire Hand Saw Two 35 cm Blades","","","","","","","","","","","","","","","","","","13 inch","","","",""
