"sku","parent.sku","name","season","tang_ebay","room","closure_amazon","head_material_type_amazon","hair_type_amazon","size_ebay","skin_type_amazon","blade_type_ebay","compatible_devices_amazon","blade_color_ebay","gender","battery_included_ebay","gun_type_ebay","finish_type_amazon","coarseness","cut","for_gun_make","compatible_model","form","thickness","size_type"
"LST-KPKO-DANCEDINO-JQ2210-GRN","LST-KPKO-DANCEDINO-JQ2210-PARENT","Kidplokio RC Remote Control Dinosaur T Rex Toys for Boys, LED Lights Sounds, Green, Ages 3+","","","","","","","","","","","","","","","","","","","","","",""
"LST-PICNICFOOD-XJ330Z-8","","Kidplokio Kids Pretend Play Food Set Fun Picnic Plastic Food Utensils Assorted, Multicolor, Ages 3+","","","","","","","Large","","","","","unisex","","","","","","","","","",""
"MCN-AKUADIVEKNIFE-BLACK","MCN-AKUADIVEKNIFE-PARENT","Akua Dive Knife with Tang Blunt Tip Blade and Sheath Water Sport - Black","","","","","","","","","","","","","","","","","","","","","",""
"MCN-AQUASEAL-PARENT","","Gear Aid Aquaseal Aquaseal FD Flexible Durable Repair Adhesive Sealant","","","","","","","","","","","","","","","","","","","","","",""
"MCN-BURIDIVEKNIFE-PARENT","","Tactical Buri Multipurpose Utility Dive Knife 8 Inch (2 Colors)","","","","","","","","","","","","","","","","","","","","","",""
"MCN-DOWNCLEANER-GALLON","MCN-REVIVEXDOWNCLEANER-PARENT","Gear Aid Revivex Down Cleaner Gentle Formula Outerwear Gear Repair 1 Gallon","","","","","","","","","","","","","","","","","","","","","",""
"MCN-ELSTIC-SHOCKCORD-HPNR","","GEAR AID Elastic Shock Cord for Tent Poles and Jackets, 84"", Black","","","","","","","","","","","","","","","","","","","","","",""
"MCNETT-MICROTERRY-TOWEL-4009-BUN-1","","GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, OD Green, M, 20"" x 40""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GADWNCLN10OZ-10OZ-HVAR","MCN-REVIVEXDOWNCLEANER-PARENT","Gear Aid ReviveX Down Cleaner","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GAMEAACCRA-3PC-SML-CLR","","Gear Aid Aquaseal Cotol-240 Combo Repair Glue Adhesive Outdoor Rec","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GAMEAACCRA-3PC-SML-CLR-PARENT","","GEAR AID Aquaseal FD Flexible Durable Repair Adhesive and Cure Accelerator","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARDWP10OZ-10OZ-CLR-3","MCN-WATERPROOFSPRAY-PARENT","Gear Aid Revivex Durable Water Proofing 10oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARDWR-169OZ-36226","","GEAR AID Revivex Durable Water Repellent (DWR) Spray for Reproofing Jackets, 16.9 fl oz","","","","","","","","","","","","unisex","","","","","","","","","",""
"MCN-GARNASFWAWK-KIT-PARENT","","Gear Aid Revivex Suede and Fabric Boot Care Kit","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARPC10OZ-10OZ-36299","","Gear Aid ReviveX Pro Cleaner for Outdoor Equipment and Clothing - 10 oz","","","","","","","","","","","","Unisex","","","","","","","","","",""
"MCN-GARSOWFP4OZ-4OZ","MET-GEARAIDREVIVEXSPRAY-PARENT","Gear Aid ReviveX Spray On Waterproofing Footware Protection Outdoor Rec - 4 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARVXDCDWEMRP-BNDL-AMZ","","GEAR AID Revivex Down Care Kit for Jackets and Sleeping Bags, with Down Cleaner, Water Repellent and Repair Patches","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARVXDCMRP-BNDL-AMZ","","GEAR AID Revivex Down Care Kit for Jackets and Sleeping Bags, with Down Cleaner and Repair Patches","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARVXPCDWEMRP-BNDL-AMZ","","GEAR AID 3pc Care Kit with Revivex Pro Cleaner, Revivex Durable Water Repellent Spray and Tenacious Tape Mini Patches","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARVXPC-DWP169OZ-BNDL-AMZ","","GEAR AID 2pk Outerwear Kit with Revivex Pro Cleaner and Revivex Durable Water Repellent Spray, 16.9 fl oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARVXPCDWP-BNDL-AMZ","","GEAR AID Care Kit with Revivex Pro Cleaner and Revivex Durable Water Repellent Spray","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GARVXPCWIWBP-BNDL-AMZ","","GEAR AID Care Kit with Revivex Pro Cleaner, Revivex Wash-In Water Repellent and Tenacious Tape Mini Patches","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GASSRASS-2OZ","MCN-SEAMGRIPFC-PARENT","GEAR AID Seam Grip FC Fast Cure Sealant for Tents, Clear, 2 fl oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GASSRASS-2OZ-BUN-2PK","MCN-SEAMGRIPFC-PARENT","GEAR AID Seam Grip FC Fast Cure Sealant for Tents, Clear, 2 fl oz, 2 Pack","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMRPBAC-6PC-BLK","","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT","","GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMRPC-6PC-3X5-CLR","","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Clear, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-IMFRKSDWR-3PC-10X6-BLCK-PARENT","","GEAR AID Wetsuit Repair Kits with Iron-On Neoprene Patch, Fix Seams and Tears","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MEMNORABC-2OZ-CLR-2","","Gear Aid Revivex Odor Eliminator, for Tents, Footwear and Sports Gear, 2 fl oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGAIWS","","Gear Aid ReviveX Instant Waterproofing Spray for Outdoor Clothing Camping","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGARBDSB-1-BLCK","","GEAR AID Dual Snap Bar Buckle, 1""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGARBS-4O-CLR","","Gear Aid Rubber Boot Saver with UV Protection Outdoor Shoe Care Repair - Clear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGARWRLGAC-4O","","Gear Aid ReviveX Water Proofing Conditioning Gel for Leather Outdoor Footwear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGAUCA25O-SML","","GEAR AID Aquaseal UV Adhesive for Instant Wader and Drysuit Repair, 0.25 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGAUSS7STRAND-15-MCH","","Gear Aid Ultra Strong 7-Strand 550 Paracord for Outdoor Camping Hiking Survival","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGAZP-2E-BLCK","","GEAR AID Zipper Pulls, Set of 2","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MMEBLBCC10O-10OZ-3","","BC Life BCD cleaning and maintenance 10 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MMESBDMPT125OZ-2","","GEAR AID Sea Buff Dive Mask and Slate Cleaner, 1.25 fl oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MMESC4OZNCB","","GEAR AID Aquaseal NEO Contact Cement for Neoprene and Wetsuit Repair, 4 fl oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MMESG14OPMARL","","Silicone O Ring Valve Protection Grease for Diving Gear - 1/4 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MOMUAQDGTNBX-2PC-35X62-NVYBL","MCN-COMPACTTOWEL-PARENT","Microfiber Ultra Absorbent Quick Dry Gym Towel Outdoor - Navy Blue XL","","","","","","","","","","","","","","","","","","","","","","35 x 62-Inch/X-Large"
"MCN-MRLBCCC-4OZ","","ReviveX Leather Boot Care Waterproof Cleaner Outdoor Recreation Repair - 4 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MTCARTRC-5FT-CLR-PARENT","","GEAR AID Tenacious Tape Repair and Seam Tape for Tents and Vinyl","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MTODLCS25OWCC-2PC-C-CLR","","GEAR AID Op Drops Anti-Fog and Lens Cleaner for Eyewear and Optics, 0.25 oz","","","","","","","","","","","","unisex","","","","","","","","","",""
"MCN-MUTPARMSDGS4OZ-4OZ-CLR-4","","Gear Aid UV Tech Protectant And Rejuvenator Marine Scuba Diving Gear 4oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-ODORELIMINATOR-GALLON","","Gear Aid Revivex Odor Eliminator for Tents, Footwear and Sports Gear, 1 Gallon","","","","","","","","","","","","unisex","","","","","","","","","",""
"MCN-ODORREMOVER-10OZ-AMZN","MCN-ODORELIMINATOR-PARENT-PZ","Gear Aid Revivex Odor Eliminator,10oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-PCXHD-1100-BLCK-RFLCT-100FT-BUN","MCN-PCXHD-1100-BLCK-RFLCT-PARENT","Gear Aid Paracord and Carabiner 5.5 mm Heavy-Duty Cord for Camping - 100 Feet","","","","","","","","","","","","","","","","","","","","","",""
"MCN-POSHDFGCMWS-2PC-C-BLCK-AMZN","","GEAR AID Snap Hooks, Set of 2","","","","","","","","","","","","","","","","","","","","","",""
"MCN-PROCLEANER-GALLON","","Gear Aid Revivex Pro Cleaner for Synthetic Fabrics Outerwear Repair 1 Gallon","","","","","","","","","","","","unisex","","","","","","","","","",""
"MCN-REVIVX-SEAMGRIPFC-BUNDLE-HPNR","","GEAR AID 2pk Tent Waterproofing Spray and Sealer for Nylon Tents, Fast Cure Kit","","","","","","","","","","","","","","","","","","","","","",""
"MCN-REVIVX-SEAMGRIPTF-BUNDLE-HPNR","","GEAR AID 2-Pack Bundle Tent Waterproofing Spray Kits for Nylon Tents","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SEAGLD-AMZN-PARENT","","Sea Gold Antifog Gel Dive Mask Care","","","","","","","","","","","","unisex","","","","","","","","","",""
