"sku","parent.sku","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay","name"
"SON-PWCCS-13PC-STD-BLCK","SON-CHISELSET-PARENT","Universal Tool","Black","China","","WCCS-1","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","3","13","(8) 8?"" High Carbon Steel Wood Chisels(2) 7"" Wood Rasp Files(1) Silicon Carbide Round Sharpening Stone(1) Silicon Triangular Sharpening Stone(1) Combination Sharpening Block (Coarse/Fine Grit)(1) Heavy Duty Slotted Storage Pouch","14","2","7","WCCS-1","","12pc Professional Wood Carving Chisel Set Various Blades Woodworking Clay and Wax"
"SON-PWCCS-13PC-STD-BLCK-BUN-TT","","","Chrome","","","","","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Steel","3","13","(12) Assorted Woodworking Chisels","","2","7","TT12PCCHISST","","ToolTreaux Woodcarving Chisel Set Professional Craft and Hobby Tools - 12 Pieces"
"SON-RINGSIZESTICK-10IN","","Universal Hobby","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Aluminum","1","10","(1) Aluminum Ring Stick","","0.44","1","UHRSS10IN","","SE JT114RS 10"" Aluminum Ring Stick"
"SON-RKBRPRBF8828HK-12PC-SML-SLVR","","","Silver","China","","882810","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","2","6","* (10) Razor Blades (various sizes, shapes)* (2) Plastic Holders for Safe Storage","","0.5","4","882810","","10pc Razor Knife Blade Refill Pack Replacement Blades for 8828 Hobby Knife"
"SON-ROTARY-TOOL-KIT-RA9276","","Universal Tool","Green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","6.5","8","-52 PC. Sand belts-8 PC. Felt wheels-1 PC. Felt bullet-2 PC. Rubber polishing wheels-3 PC. Sand Drums-3 PC. Cylindrical diamond burrs-1 PC. Knob cylindrical diamond burr-2 PC. Ball diamond burr-1 PC. Flame diamond burr-1 PC. Cone diamond burr-1 PC. Inverted Cone diamond burr-1 PC. Flathead diamond burr-1 PC. Pointed diamond burr-1 PC. Wire loop diamond burr-2 PC. Diamond cutting disc-9 PC. Precision drills-3 PC. Collets-6 PC. Aluminum Oxide grindstones-4 PC. Silicon carbide grindstones-3 PC. Pp brushes-3 PC. Steel brushes-1 PC. Brass Brush-12 PC. Aluminum Oxide grinding wheels-6 PC. Silicon carbide grinding wheels-6 PC. Rubber polishing tips-80 PC. Sandpaper-36 PC. Resin cutting disc-1 PC. Polishing Paste-1 PC. Grindstone-2 PC. Mandrel-1 PC. Expanding Mandrel-1 PC. Wrench-16 PC. Fiberglass reinforced cutting disc-4 PC. Flap wheel-1 PC. Adhesive sandpaper fixture","","2.56","7.75","RTAKRS","","Universal Tool 276pc Rotary Tool Accessories Kit on Revolving Stand"
"SON-RSSWMB-16PC-65X5X5E-2","","","","China","","11PSMB56-974","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","0.5","6.5","*(15) Bits*(1) Ratchet Handle","","0.29","0.5","11PSMB56-974","","16pc Ratchet Screwdriver Grip Handle Set with Magnetized Bits Power Hand Tools"
"SON-SHOCKCORD-30FT","","ASR Outdoor","Black","China","","Elastic Shock Cord","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Rubber","1","6.5","(1) ASR Outdoor Elastic Shock Cord 30 Feet","","0.16","3","ASROBLKESC30","","ASR Outdoor Elastic Shock Cord Natural Rubber 30 Feet 3mm Diameter, Black"
"SON-SLINGSHOT-2PC","","ASR Outdoor","Orange","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Iron","7.5","9","(1) Slingshot","","0.82","2.5","2AIFWS","","ASR Outdoor - Wrist Brace Slingshot with Adjustable Iron Frame - Ammo Included"
"SON-SLUICE-BOX-AMZN-HPNR","","","green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Rubber","36","16","","","7.7","4","","","Gold Rush Portable Backpack Sluice Box Professional Sifting Sieve - 30 Inch"
"SON-URCHCTFTW6EB-8","","Universal Tool","Multi","China","","js-72-956","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.25","10","(1) Razor Comb(5) Bonus Blades","6","0.14","3","js-72-956","","Universal Unisex Razor Comb Home Hair Cut Scissor with 5 Extra Blades"
"SON-SPORTS-BELT-8INCH","","ASR Outdoor","black","China","","MJCD92F892N-913","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Polyester","7","2","1 single pocket sports belt","","0.14","2","MJCD92F892N-913","","Sports Belt 8 Inch Expanding Pocket Black Reflective Strips Running Hiking"
"SON-SSDESWCT-SML-CHRM","","Universal Tool","Chrome","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","1","7","(1) Double Ended Spatula/Carving Tool(1) PVC Pouch","","0.1","1","1PWCSS","","Universal Tool Stainless Steel Double Ended Carving Spatula Hobby Pottery Tools Art Supplies, 6.5 Inch"
"SON-SSMFUPKWCP-2PC","","ASR Outdoor","","China","","STEELKNI-217","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","6","*(1) 17 Function Pocket Knife","","0.26","3","STEELKNI-217","","ASR Outdoor Stainless Steel Multi-tool Utility EDC Pocket Knife with Carry Pouch"
"SON-STEELDIGGER-GRN-AMZ-HPN","","","Green","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","2.5","12","","","1","3.5","","","SE Prospector's Choice 12"" Serrated Edge Digger - GP3-SS30DT"
"SON-STEPDRILLBITS-3PC","","Universal Tool","Gold","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Steel","0.5","6","(1) 6 Step Drill Bit(1) 9 Step Drill Bit(1) 13 Step Drill Bit","","0.3","3.5","UTSDBS3PC","","Universal Tool High Speed Steel Step Drill Bits Locking Hex Shank Assorted - 3pc"
"SON-STONEHAMMER-10IN-HPNR","","","Black","","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stone","4","10","","","1.98","4","","","SE 8372SH Stone Hammer, 10"""
"SON-TCFPKCB12IX15I-BUN-2PC-2PK-CLR-4PACK","SON-CLEARCUTTINGBOARD-PARENT","","Clear","China","","FCB-4-322","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","plastic","1","15","(4) Cutting Boards","","0.5","12","FCB-432299-Z","","(4 Pack) Thin Clear Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch"
"SON-TCFPKCB12IX15I-BUN-4PC-4PK-CLR","","Universal Home","Clear","China","","FCB-4-222","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","plastic","1","15","*(4) Cutting Boards","","0.5","12","FC-222-B4","","4pk - Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch"
"SON-TDFS-10PC-55L-SLVR","","Universal Tool","Silver","China","","10TDS","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","7.5","* (3) 180 Grit Files* (3) 260 Grit Files* (4) 360 Grit Files* (1) PVC Pouch","","0.25","6","10TDS","","Professional Quality Tapered Diamond File Assorted Grits 10 Piece Set"
"SON-TROWELKNEELINGPADCOMBO","","ASR Outdoor","Multiple","Import","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","5","12","(1) Plastic Hand Trowel
(2) Foam Kneeling Pads","","0.8","12","90441","","Foam Kneeling Pad and Hand Trowel Shovel Outdoor Home Garden Combo Set"
"SON-TS2ISSCS-6PC","","Universal Tool","Multi Colored","China","","2SMCS-1","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","6","*(6) Mini 2"" Spring Clamps","","0.2","4","2SMCS-1","","ToolTreaux 2 Inch Metal Spring Heavy Duty Clamps Set Rubber Tipped Grip 6pc"
