"sku","parent.sku","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay","name"
"SON-ABCBFER-SML-SLVR","","Universal Tool","Silver","China","","30ABCB","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Alkaline","1","8","*(6) AG1/364 Batteries*(6) AG3/392 Batteries*(6) AG4/377 Batteries*(3) AG5/393 Batteries*(3) AG12/386 Batteries*(6) AG13/357 Batteries","","0.1","6","30ABCB","","Universal Tool 30 Piece Assorted Button Cell Batteries for Electronic Repairs"
"SON-ACIDBRUSHSET-12PC","","Universal Tool","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Metal","0.25","6","*(12) Acid Brushes","","0.18","0.25","UHABS12","","Universal Tool Acid Brush Set 6 Inch Metal Handle Apply Glues Hard Bristle 12pc"
"SON-ANGULAR-SCISSORS","","Sona","","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","","0.1","5","","1","0.03","2","FNS9546L","","Embroidery Shears Sewing Tailors Sharp Scissors Craft and Hobby Kelly Angular"
"SON-FFKWSAFH6I-2PC-6","","ASR Outdoor","Black","China","","KF13-592","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","1","12","(1) 11\\\"" Fillet Knife(1) Knife Sheathe","2","0.4","4","KF13-592","","ASR Outdoor Fishing Fillet Knife Hard Sheath and Floating Handle, 6 inch Blade"
"SON-AO10IBGRGTGPDR-10-BL","SON-GOLDMININGPAN-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor 10 inch Gold Pan with Dual Riffles for Gold Prospecting, Blue"
"SON-AO125IBPSSFGP-LG-BL","SON-SANDSCOOPER-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor 12.5 Inch Prospecting Large Sand Scoop Plastic Trowel for Metal Detector Gold Panning, Blue"
"SON-AO14IBGRGTGP-12-BLCK","SON-GOLDMININGPAN-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor 14 inch Gold Pan with Dual Riffles for Gold Prospecting, Black"
"SON-AO155IMWSAH-155-BLCK-2","","ASR Outdoor","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","1","16","*(1) ASR Outdoor Machete","","0.8","3","ASRO15MSH-2","","ASR Outdoor Stainless Steel Machete 15.5 Inch Serrated Blade Paracord Handle"
"SON-AO155IMWSAH-155-BLCK-WSH","","","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","1","16","*(1) ASR Outdoor Machete","","0.8","3","ASRO15MSH-2","","ASR Outdoor Stainless Steel Machete 15.5 Inch Serrated Blade Paracord Handle"
"SON-AO15IPHCT-15-CHRM","","ASR Outdoor","Chrome","China","","ASROCT15","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","2","16","*(1) ASR Outdoor Crucible Tongs","","0.5","4","ASROCT15","","ASR Outdoor 15 Inch Metalworking Ceramic Crucible Tongs Melt Precious Metals"
"SON-AO6MMSSBBSS-6MM-CHRM","","ASR Outdoor","Chrome","China","","ASRO6MMAM50-40","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","1","2","*(50) ASR Outdoor Sling Shot Ball Bearings","","0.1","2","ASRO6MMAM50-40","","ASR Outdoor 6mm Sling Shot Ball Bearings Steel 50 Piece Set"
"SON-AO85IGPSSFGP-LG-GRN-HPNR","","","Green","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Plastic","6","12","","","0.54","6","","","SE GP3-SS20 Prospector Series Green Sand Scoop for Metal Detecting"
"SON-AO85IGPSSFGP-SCOOP-LG-GRNE","SON-SANDSCOOPER-LARGE-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor Large Sifting Scoop Pay Dirt Hand Trowel for Gold Panning - Green"
"SON-AOBRGFGP-2PC-ONE-BLCK-HPNR","","","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","12","","","0.8","8","","","SE GP3-RG60 Prospector's Choice Gold Panning Rubber Gloves"
"SON-AOLWSC-55E-OPQ","","ASR Outdoor","Opaque","China","","LWCT-1","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1","6","(1) Large Waterproof Storage Container","1","0.1","4","LWCT-1","","ASR Outdoor Large Translucent Waterproof Camping Storage Container - 5.5 Inch"
"SON-AOPAKR-SML-SLVR","","","Silver","China","Key Chain","ASROPAKR","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","Men","Brass","1","2","*(1) ASR Outdoor Pull Apart Key Ring","","0.1","2","ASROPAKR-SLVR-1","","ASR Outdoor Brass Body Nickel Plated Pull Apart Key Ring Travel Accessory"
"SON-AOPMTSFGP-SML-GRY-HPNR","","","Grey","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","2","*(1) ASR Outdoor Testing Stone","","0.08","2","","","SE JT-GT26 Small Precious Metal Testing Stone"
"SON-AOSBFS-10-BLCK","","ASR Outdoor","Black","China","","ASROSBFS","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Iron","2","7","*(1) ASR Outdoor Single Band Folding Slingshot","","0.4","3.5","ASROSBFS","","ASR Outdoor Single Band Folding Slingshot Molded Grip Leather Pouch"
"SON-AOSPRB100F-100F-BLCK","SON-550PARACORDROPE-PARENT","ASR Outdoor","Black","China","","ASR-BP-467","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","paracord","4","7","*(1) Black Paracord - 100ft","","0.6","7","BP-467","","Survival Multi-Purpose Paracord Rope Black - 100 ft"
"SON-AOSPROG100F-100F-ODGRN","SON-550PARACORDROPE-PARENT","ASR Outdoor","OD Green","China","","ASR-ODGP-204","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","paracord","4","7","*(1) OD Green Paracord - 100ft","","0.6","7","ODGP-204","","Survival Multi-Purpose Paracord Rope OD Green- 100 ft"
"SON-AOSPRORT100FT-100FT-RFLCTVORNG","","ASR Outdoor","Reflective Orange","China","","ASR-ORRT-838","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Paracord","7","7","*(1) Orange Reflective Tracer Paracord - 100ft","1","0.6","7","ASR-ORRT-838","","Survival Multi-Purpose Paracord Rope Reflective Tracer Orange - 100ft"
"SON-AOTFSSMFOU23I-23-BLCK","","ASR Outdoor","Black","China","","TFS021","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","12","7","*(1) Tri Fold Steel Outdoor Shovel","","2.5","3.5","TFS021","","ASR Outdoor Tri Fold Steel Shovel Multi Functional Outdoor Use 23 Inch"
"SON-AOUFDSVHVLG-ONE-GRN","","","Green","China","","DLGSF","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","PVC","1","4","*(1) Disposable Lime Green Safety Vest","","0.1","4","DLGSF-2323","","Safety Disposable Vest High Visibility One Size Fits Most Lime Green"
"SON-FOLDINGSLUICEBOX-SLV","","ASR Outdoor","Silver","China","","","","gold panning","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Aluminum","10.5","16.5","(1) ASR Outdoor Folding Sluice Box","","8.66","6","ASROFASBS","","ASR Outdoor 50"" Gold Sluice Box Folding Aluminum Gold Prospecting Equipment"
"SON-IFESFS-STD-BLCK","","ASR Outdoor","Black","China","","IF213-800","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Flint","1","4","*(1) Instant Fire Starter","","0.15","3","IF213-800","","ASR Outdoor Emergency Pocket Instant Lighter Fire Stick Starter Survival Tool with Keychain and Compass"
"SON-BEADCRIMPPLIER-BLUE","","Universal Hobby","Blue","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Carbon Steel","0.5","5","(1) Mini Bead Crimping Pliers","","0.16","2","UHBCPLIER","","Universal Hobby Mini Bead Crimping Pliers Carbon Steel Jewelry Making Tool"
"SON-BFTOUMT-MED-BLCK","","ASR Outdoor","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","1","10","(1) Marshmallow Toaster Telescopic BBQ Fork","","0.2","2","BBQ1pcFork-MT","","ASR Outdoor Barbecue Fork Extendable Metal Dual Prong Fire Cooking Utensil"
"SON-BLACKSTRETCHBALLS-100PK-8IN","","Universal Tool","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","1","8","(100) Black Stretch Cords","","1.02","1","UTBBSC1008IN","","Universal Tool 100 Pack Black Stretch Cord with Black Ball 8 Inch Length"
"SON-BLE-BBQMATS-BLK-2PC","","Beille","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Non Stick","17","13.5","(2) Reusable BBQ Grilling Mats","2","0.4","0.5","BLE0433OD","","Beille Black BBQ Grill Accessories Reusable Non Stick Grilling Mats 13 x 15 Inch, 2pk"
"SON-CABLE-TIES-CT4B","","ASR Outdoor","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","1","8.5","(100) Cable ties","","0.06","4","BCT100PC","","Universal Home 100 Count 4"" Cable Wire Hose Zip Ties"
"SON-CENTERPUNCH-BRS","","Universal Hobby","Gold","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Brass","0.5","5","*(1) Spring-loaded Automatic Center Punch","","0.25","0.5","UHSLAPBRS","","Utopia's Automatic Center Punch Gold"
"SON-CHASHING-HAMMER-8331JH","","Universal Tool","brown","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Stainless Steel","8.5","2.5","(1) Hammer","","0.22","1.25","CAGH","","Universal Tool Chasing and Goldsmith Hammer 1 and 5/8 inch Diameter DIY Crafting"
"SON-CINEMA-LIGHTBOX-20BX","","Universal","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","1","13.9","(20) 2.25"" x 2.25""(90) Character Count","","1.45","2.5","NBB1233SL2","","Universal Hanging Cinema String Light Boxes With 90 Characters - 20 Light Boxes"
"SON-COBHEADLAMP-100LUM","","ASR Outdoor","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","6.25","(1) ASR Outdoor Headlamp","","0.15","5","ASRL100L","","ASR Outdoor Slim 3-Stage Headlamp Ultrabright 150 Lumen COB Flood Light"
"SON-COMPANIONWHISTLES-ORG","","ASR Outdoor","Orange","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","0.25","2","(2) ASR Outdoor Companion Whistles","","0.15","1","2PCCWS","","ASR Outdoor Hiking Companion Whistles Emergency Survival Tools 105 dB Rating"
"SON-CUTBRD12X15-VARZ-4PK","SON-CUTBRD12X15-VARRZ-PARENT-2IH","Universal","Clear","China","","FCB","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","plastic","1","15","* (4) Clear Flexi Cutting Boards","","0.49","12","FCB-4PK","","(4 Pack) Thin Clear Flexible Cutting Board Mat 12 x 15 inch"
"SON-DAMAGEDSCREWEXTRACTOR-4PC","","Universal Tool","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1","7","*(4) 3/8in shank drill bits","","0.25","5","UTDSES4","","Universal Tool Damaged Screw Extractor Set - 4 Pieces Assorted Sizes"
"SON-DBSRT-12PC-SML-SLVR-IR-TT","","","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","1","5","","","0.2","6","TT12PC150GBS","","ToolTreaux Diamond Coated Cutting Burrs Set Assorted Rotary Tools 12pc 150 Grit"
"SON-DBSRT40G-50PC-STD-YLLW","SON-DIAMONDBURRBITSET-PARENT","","","","","","","","","","","","","","","","","","","","","","","50pc Diamond Burr Set for Rotary Tool, 40 Grit"
"SON-DIAMONDHOLESAW-80GRT","","Universal Tool","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Steel","2","4.5","(10) Diamond Coated Hole Saws","","0.72","2.75","UT80GRTDHSS","","10pc Diamond Coated Hole Saw Set for Glass and Stone, 80 Grit"
"SON-DKBSBS-3PC-SML-ASSRTD","","Universal Tool","Multi-Color","China","","3DBS","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","10","(1) Fine Stone Block(1) Medium Stone Block(1) Coarse Stone Block","3","0.6","7","3DBS","","3 Piece Universal Diamond Knife and Blade Sharpening Block Set"
"SON-DOUBLEENDEDSTEELSPATULA","","Universal Tool","Silver","China","","DD2-32-372","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","2","6","*(1) Double Ended Stainless Steel Spatula","","0.2","4","DD2-32-372","","Universal Tool Double Ended Stainless Steel Spatula"
"SON-DTCBAU-12PC-SML-WHT-2","","Universal","White","China","","SON1221134-817","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Cotton","1","7","*(12) Compressed Disposable Towels","","0.15","4","SON1221134-817","","(12 Pack) Disposable Towels Compact Compressed Biodegradable and Unscented"
"SON-EIGHT-PC-STENCIL","","Fine Art Essentials","clear","","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","plastic","1","12","*(8) Stencils","8","0.48","6.5","4792189","","8 Pc Template Stencil Set Drawing Kit in Assorted Shapes"
"SON-EXTEND-FLYSWATTER-ASSRT","","ASR Outdoor","Assorted","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Plaster","0.25","10.5","(1) Assorted Fly Swatter","","0.06","3.25","AssortFly1","","ASR Outdoor Extendable Insect Bug Fly Swatter Durable Telescopic Pole Anti Slip"
"SON-EXTEND-FLYSWATTER-RED","","ASR Outdoor","Red","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Plaster","0.25","10.5","(1) Red Fly Swatter","","0.06","3.25","REDFLY1","","ASR Outdoor Extendable Insect Bug Fly Swatter Durable Telescopic Pole Anti Slip"
"SON-FIRSTAIDKIT-100PC","","ASR Outdoor","Red","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Waterproof","3","7.5","(1) 100pc ASR Outdoor First Aid Kit","","0.62","5","ASROFAK100PC","","ASR Outdoor First Aid Kit in Waterproof Dry Sack Emergency Supplies 100 Pieces"
"SON-FLEXIDUSTER-GRN","SON-FLEXIDUSTER-PARENT","","","","","","","","","","","","","","","","","","","","","","","Extendable Flexible Feather Duster For Home And Office Cleaning - Green"
"SON-OTRSCMP-STD-YLLW","","ASR Outdoor","Yellow","China","","EBS-padded","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Foam","0.25","71","(1) Thermal Camping Mat","1","0.56","20","EB7158","","ASR Outdoor Thermal Mat Heat Reflective Camping Sleeping Pad Insulated Winter Chill"
"SON-FOLDINGSLUICEBOXBACKPACK-BUN","SON-FOLDINGSLUICEBOX-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor 50"" Aluminum Folding Sluice Box for Gold Prospecting Backpack Kit, Black"
"SON-GOLDKITCOP-7PC-KIT-EBAY-HPN","","","Green","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Plastic","5","15","","","2.4","15","GP5KIT107","","7pc Gold Panning Kit 1/4 Mesh Classifier, 14"" & 10"" Green Gold Pans, 2 vials, Sniffer Bottle, Tweezers With Magnefier"
"SON-GOLDMAT-GP-SB35-MAT","","ASR Outdoor","Green","China","","","","gold panning","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","TPR Plastic","0.25","3","(1) Mat","","2.2","10","TRSBM","","ASR Outdoor Rubber Riffled Gold Sluice Box Matting for Gold Recovery, 27x10 inch"
"SON-GOLDMAT-GP-SB35-MAT-AMZ-HPN","","","Green","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","","0.25","3","","","2.2","10","","","SE GP-SB35-MAT Prospector's Choice 10"" x 27"" Trimmable Riffled Sluice Box Matting"
"SON-GOLDSANDSCOOP-BLACK-HPNR","","","Black","China","","ASRO85BSS","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","6","12","(1) ASR Outdoor Black Sand Scoop","","0.5","6","","","SE GP3-SS20 Series Prospector's Choice Plastic Sand Scoop For Metal Detecting"
"SON-GOLDSANDSCOOP-ORANGE-HPNR","","","Orange","China","","ASRO85OSS","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","6","12","(1) ASR Outdoor Orange Sand Scoop","","0.56","6","","","SE GP3-SS20 Series Prospector's Choice Plastic Sand Scoop For Metal Detecting"
"SON-GOLDS-LARGE-SCOOP-BLK","SON-SANDSCOOPER-LARGE-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor Large Sifting Scoop Pay Dirt Hand Trowel for Gold Panning - Black"
"SON-GOLDS-LARGE-SCOOP-ORNG","SON-SANDSCOOPER-LARGE-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor Metal Detector 8.5 inch Heavy Duty Large Plastic Sand Scoop for Metal Detecting, Orange"
"SON-GR6ISPP40HSI-6IN-GRN-HPNR","","","Green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","4","6","","","0.24","6","","","SE GP4-40 5.5"" Mini Stackable Sifting Pan, 40 Holes/Square Inch"
"SON-GRAPHITECRUCIBLES-PARENT","","Universal Tool","Charcoal","","","","","","","","","","","","Graphite","3","7","(1) Graphite Crucible","1","0.9","3","GRAPHCRUCPAR","","Universal Tool Graphite Crucible for Melting Gold and Silver (2 Sizes)"
"SON-GRAYDUCTTAPE-30FT","","Universal Tool","Gray","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Adhesive","2","3.75","(1) Roll of Duct Tape - 30 Feet","","0.24","3.75","UTGDT30FT","","Universal Tool 30ft Roll Gray Duct Tape 2 Inch Wide Adhesive Gear"
"SON-GRCSS20HPSI-6-GRN-HPNR","","","Green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","4","6","","","0.24","6","","","SE GP4-20 5.5"" Mini Stackable Sifting Pan, 20 Holes/Square Inch"
"SON-GRCSS30HPSI-6-GRN-1","","","Green","China","","MSCS-30","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","4","6","(1) 30/Inch Mini Classifying Screen","1","0.24","6","MSCS-30","","Gold Rush Sifting Classifier Sieve Mini 6 Inch Prospect Pan 30 Holes per Sq Inch"
"SON-GUNCLEANKIT-24PC","","ASR Outdoor","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1","10","(1) 24pc ASR Outdoor Gun Cleaning Kit","","0.72","5","24PASROCLK","","24 Piece Set ASR Outdoor Gun Cleaning Kit Brass Punches Brushes and Patches"
"SON-GUNCLMAT-18IN","","ASR Tactical","Red","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Fabric","0.5","18","(1) Non-Slip Water Resistant Cleaning Mat","","0.64","12","18INGUNCLMAT","","American Flag Non-Slip Gun and Electronics Cleaning Mat Washable 18 Inch"
"SON-HALSAST40I34WB-2PC-40-BLCK","","Universal","Black","China","","40v-B-446","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Adhesive Tape","2","7","(1) 40"" Hook Roll(1) 40"" Loop Roll","2","0.2","4","40v-B-446","","Hook and Loop Self Adhesive Sewing Tape 40 Inch 3/4 Wide for Arts Crafts - Black"
"SON-HHMHDSS4XM-5X3X25","","Universal Tool","Black, Silver","China","","4XSS-948","","","","","WARNING: This product may contain chemicals including lead and lead compounds known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","2.5","5","(1) Magnifier","1","0.74","3","4XSS-948","","Helping Hand Magnifier Heavy Duty Soldering Station - 4x Magnification"
"SON-HOOKSNPICKS-6PC","","","Black","China","","","Hooks and Picks","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Carbon Steel","0.5","12.5","(6) Hooks and Picks","","0.5","5","TTX6PCHPS","","ToolTreaux Hook and Pick Precision Automotive Tool Set Puller Removers 6 Pieces"
"SON-HSSSBAM-2PC-SLVR","","","Silver","China","","2MHSB-1","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","1","3","*(1) High Speed Saw Blade*(1) Mandrels","","0.1","1","2MHSB-1","","2pc Mini High Speed Steel Saw Blade And Mandrel 1/4 Inch Arbor Size .8mm"
"SON-HTSSS-5PC-SML-GRY","","","","","","","","","","","","","","","","1","9","","","0.2","6","TW2-405-565","","Universal 5pc Hobby Tweezer Set Stainless Steel"
"SON-HTSSS-5PC-SML-GRY-2","","","Grey","China","","TW2-405-158","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","9","*(5) Tweezers
*(1) Plastic Pouch","","0.2","6","U5SSTS-5","","5pc Universal Tweezer Set Stainless Steel, 5"""
"SON-ICE-TEMPERED-SCISSOR-SP102","","Universal Tool","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Stainless Steel","0.01","5.5","(1) Scissor","","0.08","3","ITSBS5","","Universal Tool Ice Tempered S Steel Salon Hairdressing Barber Scissor 5.5 inch"
"SON-ICE-TEMPERED-SCISSOR-SP102-4PK","","Universal Tool","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Stainless Steel","0.01","5.5","(4) Scissors","","0.08","3","ITSBS5","","4 Pack Universal Tool Tempered Steel Salon Hairdressing Barber Scissor 5.5 inch"
"SON-ICE-TEMPERED-SCISSOR-SP105","","Universal Tool","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Stainless Steel","0.01","7.5","(1) Scissor","","0.08","3","ITSBS7","","Universal Tool Ice Tempered S Steel Salon Hairdressing Barber Scissor 7.5 inch"
"SON-J65XCKCWHGB-XL-BL-2","","ASR Outdoor","Blue","China","","ASRO-SECB_XLBU2","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Aluminum","1","6.5","* (1) Jumbo Blue XL 6.5"" Carabiner Keychain with Hand Grip","","0.25","4","ASRO-SECB_XLBU2","","Jumbo 6.5"" XL Carabiner Key Chain With Hand Grip - Blue"
"SON-J65XCKCWHGCS-XL-SLVR-3","SON-CARABINERSJUMBO-PARENT","","273R0 Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Aluminum","1","6.5","* (1) Jumbo Silver XL 6.5"" Carabiner Keychain with Hand Grip","","0.25","4","7426","","7-3/4"" Jumbo Aluminum Carabiner - Chrome Silver"
"SON-JAROPENER-BJ094","","Beille","Red","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Silicone","0.5","9","(1) Silicone Jar Opener","","0.2","6","BJOPRD1","","Beille Rubber 4 in 1 Non Slip Multipurpose Adjustable Easy Grip Jar Opener Tool"
"SON-JEWELERSSAWBLADES04-144PK","","Universal Tool","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","1","7","*(144) Jeweler's Saw Blades, Size 0/4","","0.1","2","UT144SBS04","","ToolTreaux 144pc Jewelry Saw Blades Set 0/3 Size 5.25"" 50 TPI Steel"
