category_id,category_name,upc_essential
50767,Goofy,NO
50768,Lilo & Stitch,NO
50769,Little Mermaid,NO
50770,Mickey Mouse,NO
50771,Minnie Mouse,NO
50772,Peter Pan,NO
50773,Pluto,NO
50774,Sleeping Beauty,NO
50775,Snow White,NO
50776,Winnie the Pooh,NO
55416,101 Dalmatians,NO
55417,Bambi,NO
55418,Dumbo,NO
55419,Figment,NO
55420,Jiminy Cricket,NO
55421,Nightmare Before Christmas,NO
55422,Piglet,NO
55423,Pinocchio,NO
55424,Tigger,NO
55425,Tinker Bell,NO
55426,Toy Story,NO
60215,Finding Nemo,NO
60216,Haunted Mansion,NO
60217,Who Framed Roger Rabbit,NO
66523,Eeyore,NO
66524,Alice in Wonderland,NO
95127,Incredibles,NO
95128,Aladdin,NO
150122,Pirates of the Caribbean,NO
163745,Wall-E,NO
66522,Attraction & Ride Pins,NO
88885,Coin Purses,NO
88886,Cosmetic Bags,NO
88887,Handbags,NO
88888,Shoulder Bags,NO
88889,Wallets,NO
88890,Other Disney Bags & Cases,NO
88892,Pens & Pencils,NO
95116,Bobblehead Figures,NO
1377,Other Contemp Disney Houseware,NO
88893,"Pillows, Cushions",NO
95119,Salt & Pepper Shakers,NO
95120,"Bath, Beach Towels",NO
95121,Bedding,NO
95122,"Candles, Candle Holders",NO
95123,Cookie Jars,NO
95124,Dinnerware,NO
95125,Lamps,NO
95126,Night Lights,NO
170076,Disney Dollars,NO
153,Other Sci-Fi Collectibles,NO
156,X-Files,NO
591,Godzilla,NO
785,Babylon 5,NO
1450,Doctor Who,NO
154,Other Star Wars Collectibles,NO
8676,Autographs,NO
8677,Books,NO
73552,"Figurines, Statues & Busts",NO
99969,Collector Plates,NO
99970,Clothing & Accessories,NO
99971,Lightsaber & Weapon Replicas,NO
99973,Posters & Prints,NO
99975,Vehicle & Space Ship Replicas,NO
99976,Jewelry,NO
111997,Collectible Action Figures,NO
14015,Planet of the Apes,NO
14289,Xena,NO
14905,Buffy the Vampire Slayer,NO
155,Other Star Trek Collectibles,NO
750,Collectible Action Figures,NO
8689,Autographs,NO
8690,Books,NO
8692,Collectible Magazines,NO
8694,Posters & Prints,NO
8697,Clothing & Accessories,NO
259146,"Figurines, Statues & Busts",NO
259147,Vehicle & Space Ship Replicas,NO
37880,Battlestar Galactica,NO
73548,"Aliens, AVP",NO
73549,Farscape,NO
73550,Lost in Space,NO
73560,Thunderbirds,NO
98026,Smallville,NO
98035,Stargate SG-1,NO
99965,Space 1999,NO
99977,"UFOs, Area 51, Roswell",NO
157023,"Firefly, Serenity",NO
165728,Lost,NO
165729,Predator,NO
165730,Resident Evil,NO
