category_id,category_path,listing_count
181042,"Home & Garden|Yard, Garden & Outdoor Living|Weed & Pest Control|Insect & Grub Control|Swatters",1
11855,"Health & Beauty|Hair Care & Styling|Brushes & Combs",1
63914,"Business & Industrial|Light Equipment & Tools|Hand Tools|Hammers",1
67720,"Jewelry & Watches|Jewelry Care, Design & Repair|Jewelry Cleaners & Polish",1
73938,"Sporting Goods|Hunting|Gun Storage|Cases",1
40587,"Home & Garden|Bath|Bathroom Accessories|Towels & Washcloths",1
29509,"Home & Garden|Household Supplies & Cleaning|Cleaning Tools|Cleaning Towels & Cloths",1
20641,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Peelers & Slicers",1
159710,"Business & Industrial|Office|Office Supplies|Other Office Supplies",1
178972,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Chisels",1
73944,"Sporting Goods|Hunting|Gun Parts|Pistol Parts",1
50419,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Kitchen Scales",1
66727,"Home & Garden|Kids & Teens at Home|Bedding|Blankets & Throws",1
22689,"Sporting Goods|Cycling|Bicycle Accessories|Lights & Reflectors",1
43616,"Home & Garden|Tools & Workshop Equipment|Safety & Protective Gear|Gloves & Pads",1
776,"Toys & Hobbies|Slot Cars|Other Slot Cars",1
42576,"Sporting Goods|Hunting|Knives & Tools|Fixed Blade",1
178055,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Funnels",1
116183,"Health & Beauty|Vision Care|Eyeglass Cases & Storage",1
42255,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Screwdrivers & Nutdrivers",1
74051,"Sporting Goods|Water Sports|Swimming|Goggles",1
20661,"Home & Garden|Kitchen, Dining & Bar|Linens & Textiles|Oven Mitts & Potholders",1
93839,"Travel|Travel Accessories|Other Travel Accessories",1
259344,"Home & Garden|Household Supplies & Cleaning|Cleaning Tools|Cleaning Brushes",1
71468,"Business & Industrial|Retail & Services|Point of Sale & Money Handling|Counterfeit Detection Equipment",1
139869,"Home & Garden|Yard, Garden & Outdoor Living|Garden Hand Tools & Equipment|Saws",1
185171,"Business & Industrial|Healthcare, Lab & Dental|Handpieces & Instruments|Other Handpieces & Instruments",1
145931,"Toys & Hobbies|Educational|Alphabet & Language|Blocks, Tiles & Mats",1
184590,"Toys & Hobbies|Educational|Special Needs & Autism|Fidget Blocks",1
58100,"Sporting Goods|Cycling|Bicycle Accessories|Locks & Security",1
154,"Collectibles|Science Fiction & Horror|Star Wars Collectibles|Other Star Wars Collectibles",1
183134,"Crafts|Leathercrafts|Leathercraft Tools|Hollow Punching Tools",1
67670,"Health & Beauty|Vision Care|Reading Glasses",1
159091,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Glow Sticks",1
122321,"Clothing, Shoes & Accessories|Kids|Boys|Boys' Accessories|Scarves",1
42577,"Sporting Goods|Hunting|Knives & Tools|Folding Blade",1
134569,"Crafts|Kids' Crafts|Drawing & Painting|Paint Sets",1
181362,"Sporting Goods|Camping & Hiking|Clothing|Men's|Socks",1
13871,"Collectibles|Tools, Hardware & Locks|Tools|Carpentry, Woodworking|Chisels",1
67019,"Business & Industrial|Facility Maintenance & Safety|Personal Protective Equipment (PPE)|Safety Glasses & Goggles",1
57209,"Crafts|Art Supplies|Painting Supplies|Artists Brushes",1
159074,"Sporting Goods|Outdoor Sports|Skateboarding & Longboarding|Skateboard Parts|Grip Tape",1
10324,"Jewelry & Watches|Watches, Parts & Accessories|Parts, Tools & Guides|Parts|Other Watch Parts",1
123847,"Toys & Hobbies|Radio Control & Control Line|RC Model Vehicles & Kits|Helicopters",1
181383,"Sporting Goods|Camping & Hiking|Camping Cooking Supplies|Camping Tableware",1
260150,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Manual Juicers",1
36114,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Air Mattresses & Sleeping Pads",1
66826,"Sporting Goods|Hunting|Knives & Tools|Sharpening Tools & Accessories",1
53145,"Business & Industrial|Facility Maintenance & Safety|Surveillance & Alarm Equipment|Alarm Systems & Accessories|Other Alarm Parts & Accessories",1
1105,"Books & Magazines|Textbooks, Education & Reference|Textbooks",1
181380,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Waist Packs & Bags",1
7279,"Collectibles|Pens & Writing Instruments|Pens|Ballpoint Pens|Other Collectible Ballpoint",1
67416,"Health & Beauty|Shaving & Hair Removal|Tweezers",1
181397,"Sporting Goods|Camping & Hiking|Camping Hygiene & Sanitation|Portable Toilets",1
134728,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Measuring Cups & Spoons",1
178964,"Health & Beauty|Shaving & Hair Removal|Razors & Razor Blades|Women's Razors",1
261069,"Toys & Hobbies|Action Figures & Accessories|Action Figures Playsets",1
494,"Jewelry & Watches|Jewelry Care, Design & Repair|Other Jewelry Care, Design & Repair",1
159702,"Business & Industrial|Light Equipment & Tools|Hand Tools|Wrenches",1
19198,"Toys & Hobbies|Robots, Monsters & Space Toys|Robots|1970-Now",1
166571,"Toys & Hobbies|Games|Card Games & Poker|Playing Cards",1
2993,"Clothing, Shoes & Accessories|Men|Men's Accessories|Belts",1
106123,"Clothing, Shoes & Accessories|Specialty|Clothing & Shoe Care|Shoe Care & Repair|Shoe Cleaners, Conditioners & Polishes",1
177895,"Sporting Goods|Tactical & Duty Gear|Tactical Patches",1
85915,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Power Equipment|Chainsaw Parts",1
183187,"Crafts|Multi-Purpose Craft Supplies|Organization & Storage|Other Craft Storage",1
158746,"Toys & Hobbies|Preschool Toys & Pretend Play|Kitchens",1
141475,"Clothing, Shoes & Accessories|Specialty|Clothing & Shoe Care|Shoe Care & Repair|Shoe Care Sets",1
258317,"Business & Industrial|CNC, Metalworking & Manufacturing|Woodworking Equipment|Saws|Circular Saws",1
160718,"Crafts|Kids' Crafts|Drawing & Painting|Other Kids' Drawing & Painting",1
29576,"Sporting Goods|Water Sports|Scuba & Snorkeling|Gear Bags",1
