category_id,category_path,listing_count,upc_support,ean_support,isbn_support
3186,"Home & Garden|Yard, Garden & Outdoor Living|Garden Hand Tools & Equipment|Other Garden Hand Tools & Equipment",2,ENABLED,DISABLED,DISABLED
39729,"Collectibles|Tools, Hardware & Locks|Tools|Carpentry, Woodworking|Axes, Hatchets",2,DISABLED,DISABLED,DISABLED
29524,"Home & Garden|Tools & Workshop Equipment|Measuring & Layout Tools|Measuring Tapes & Rulers",2,ENABLED,DISABLED,DISABLED
20688,"Home & Garden|Kitchen, Dining & Bar|Bar Tools & Accessories|Corkscrews & Openers",2,ENABLED,DISABLED,DISABLED
20702,"Home & Garden|Lamps, Lighting & Ceiling Fans|Night Lights",2,ENABLED,DISABLED,DISABLED
177058,"Home & Garden|Kids & Teens at Home|Kitchen & Dining|Water Bottles & Vacuum Flasks",2,ENABLED,DISABLED,DISABLED
115280,"Sporting Goods|Golf|Golf Clubs & Equipment|Golf Clubs",2,ENABLED,DISABLED,DISABLED
2646,"Toys & Hobbies|Preschool Toys & Pretend Play|Brio",2,ENABLED,DISABLED,DISABLED
13844,"Collectibles|Disneyana|Contemporary (1968-Now)|Paper, Notepads",2,DISABLED,DISABLED,DISABLED
181040,"Home & Garden|Yard, Garden & Outdoor Living|Weed & Pest Control|Insect & Grub Control|Insect Zappers",2,ENABLED,DISABLED,DISABLED
181959,"Business & Industrial|Test, Measurement & Inspection|Leads & Probes|Multimeter Test Leads",2,ENABLED,DISABLED,DISABLED
152934,"Toys & Hobbies|Diecast & Toy Vehicles|Construction Equipment|Contemporary Manufacture",2,ENABLED,DISABLED,DISABLED
100237,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Other Camping Knives & Tools",2,REQUIRED,DISABLED,DISABLED
134570,"Crafts|Kids' Crafts|Stickers",2,ENABLED,DISABLED,DISABLED
159758,"Health & Beauty|Oral Care|Dental Floss & Flossers",2,ENABLED,DISABLED,DISABLED
260384,"Home & Garden|Kids & Teens at Home|Kitchen & Dining|Cups, Mugs & Glasses",2,ENABLED,DISABLED,DISABLED
11735,"Toys & Hobbies|Educational|Music & Art",2,ENABLED,DISABLED,DISABLED
52482,"Sporting Goods|Camping & Hiking|Hiking Gear|GPS & Compasses",2,ENABLED,DISABLED,DISABLED
234,"Toys & Hobbies|Games|Other Games",2,ENABLED,DISABLED,DISABLED
102953,"Home & Garden|School Supplies|Pens & Pencils",2,REQUIRED,DISABLED,DISABLED
159183,"Sporting Goods|Winter Sports|Skiing, Snowboarding & Snowshoeing|Accessories|Hand & Foot Warmers",2,ENABLED,DISABLED,DISABLED
98968,"Travel|Travel Accessories|Money Belts & Wallets",2,ENABLED,DISABLED,DISABLED
183808,"Business & Industrial|Cleaning & Janitorial Supplies|Pest Control Supplies|Pest Trap Parts & Accessories|Pest Trap Sticky Paper",2,ENABLED,DISABLED,DISABLED
19074,"Toys & Hobbies|Electronic, Battery & Wind-Up|Friction|1970-Now",2,ENABLED,DISABLED,DISABLED
183133,"Crafts|Leathercrafts|Leathercraft Tools|Hammer & Mallets",2,REQUIRED,DISABLED,DISABLED
180998,"Home & Garden|Yard, Garden & Outdoor Living|Garden Structures & Shade|Umbrellas",2,ENABLED,DISABLED,DISABLED
29577,"Sporting Goods|Water Sports|Scuba & Snorkeling|Knives",2,ENABLED,DISABLED,DISABLED
39730,"Collectibles|Tools, Hardware & Locks|Tools|Carpentry, Woodworking|Hammers",2,DISABLED,DISABLED,DISABLED
86174,"Business & Industrial|Material Handling|Packing & Shipping|Packing & Shipping Bags|Reclosable & Zipper Bags",2,ENABLED,DISABLED,DISABLED
34002,"Crafts|Scrapbooking & Paper Crafts|Scrapbooking|Scrapbooking Embellishments|Scrapbooking Stickers",2,ENABLED,DISABLED,DISABLED
261186,"Books & Magazines|Books",2,DISABLED,DISABLED,REQUIRED
183161,"Crafts|Home Arts & Crafts|Woodworking|Other Woodworking Supplies",2,ENABLED,DISABLED,DISABLED
177849,"Sporting Goods|Cycling|Car & Truck Racks",2,ENABLED,DISABLED,DISABLED
170091,"Home & Garden|Holiday & Seasonal Décor|Stockings & Hangers",2,ENABLED,DISABLED,DISABLED
19170,"Toys & Hobbies|Preschool Toys & Pretend Play|Dinosaurs",2,ENABLED,DISABLED,DISABLED
45112,"Business & Industrial|Office|Office Supplies|Calendars & Planners|Blank Diaries & Journals",2,REQUIRED,DISABLED,DISABLED
20695,"Home & Garden|Kitchen, Dining & Bar|Dinnerware & Serveware|Mugs",2,ENABLED,DISABLED,DISABLED
87089,"Sporting Goods|Water Sports|Kayaking, Canoeing & Rafting|Accessories",2,ENABLED,DISABLED,DISABLED
71161,"Sporting Goods|Water Sports|Scuba & Snorkeling|Masks",2,ENABLED,DISABLED,DISABLED
177918,"Toys & Hobbies|Diecast & Toy Vehicles|Play Sets",2,ENABLED,DISABLED,DISABLED
85917,"Home & Garden|Tools & Workshop Equipment|Workshop Equipment|Tie Downs & Straps",2,ENABLED,DISABLED,DISABLED
183191,"Crafts|Needlecrafts & Yarn|Embroidery & Cross Stitch|Hand Embroidery Tools & Accs|Embroidery Scissors",2,ENABLED,DISABLED,DISABLED
32885,"Home & Garden|Kitchen, Dining & Bar|Baking Accs. & Cake Decorating|Rolling Pins",2,ENABLED,DISABLED,DISABLED
11873,"Health & Beauty|Nail Care, Manicure & Pedicure|Nail Polish & Powders|Nail Polish",2,ENABLED,DISABLED,DISABLED
3628,"Collectibles|Pez, Keychains, Promo Glasses|Keychains|Modern (1970-Now)",2,DISABLED,DISABLED,DISABLED
145993,"Toys & Hobbies|Outdoor Toys & Structures|Sand & Water Toys|Water Toys",2,ENABLED,DISABLED,DISABLED
